Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Emanuel Emegha;nl NED;AT;Strasbourg;21-343;2003;9.7;4;4;0;2;2;1;2;50.0;1;7;4;3;0;4;9;0;Matchs
;Romain Faivre;fr FRA;MT,AT;Brest;26-181;1998;5.6;8;8;3;4;1;4;9;44.4;5;2;0;2;3;11;2;1;Matchs
;Khalil Fayad;fr FRA;MT,AT;Montpellier;20-216;2004;3.1;15;7;6;9;0;5;8;62.5;3;4;0;4;1;16;4;0;Matchs
;Zinedine Ferhat;dz ALG;AT,MT;Angers;31-316;1993;2.8;1;0;0;1;0;0;2;0.0;2;1;0;1;2;3;2;0;Matchs
;Edimilson Fernandes;ch SUI;MT;Brest;28-271;1996;5.7;7;5;2;5;0;6;9;66.7;3;8;3;5;10;17;13;1;Matchs
;Matias Fernandez-Pardo;be BEL;AT;Lille;19-343;2005;4.9;6;4;3;3;0;4;8;50.0;4;5;0;5;1;7;4;0;Matchs
;Jordan Ferri;fr FRA;MT;Montpellier;32-305;1992;9.8;25;11;11;13;1;10;18;55.6;8;8;1;7;6;31;11;0;Matchs
;Karol Fila;pl POL;MT;Strasbourg;26-212;1998;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Malick Fofana;be BEL;AT;Lyon;19-286;2005;10.0;14;8;6;7;1;7;13;53.8;6;8;0;8;7;21;6;0;Matchs
;Seko Fofana;ci CIV;MT;Rennes;29-249;1995;0.3;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;Matchs
;Yahia Fofana;ci CIV;GB;Angers;24-143;2000;16.0;0;0;0;0;0;0;1;0.0;1;0;0;0;1;1;12;0;Matchs
;Lamine Fomba;fr FRA;MT;Saint-Étienne;26-351;1998;0.8;4;3;2;2;0;1;2;50.0;1;4;1;3;2;6;3;1;Matchs
;Przemysław Frankowski;pl POL;DF;Lens;29-274;1995;11.5;20;12;11;6;3;14;22;63.6;8;5;0;5;8;28;20;0;Matchs
;Angelo Fulgini;fr FRA;MT,AT;Lens;28-144;1996;7.4;5;4;2;1;2;3;5;60.0;2;8;1;7;0;5;2;0;Matchs
;Gauthier Gallon;fr FRA;GB;Rennes;31-263;1993;0.5;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Ignatius Ganago;cm CMR;AT,MT;Nantes;25-330;1999;2.7;1;1;0;1;0;1;2;50.0;1;3;1;2;4;5;2;0;Matchs
;Ulisses Garcia;ch SUI;DF;Marseille;29-000;1996;4.6;9;7;4;4;1;3;10;30.0;7;3;0;3;2;11;8;0;Matchs
;Jean-Philippe Gbamin;ci CIV;MT;Nantes;29-108;1995;2.3;2;1;0;2;0;1;4;25.0;3;4;1;3;3;5;2;0;Matchs
;Yann Gboho;fr FRA;MT,AT;Toulouse;23-363;2001;14.2;20;8;6;9;5;10;18;55.6;8;11;0;11;4;24;3;0;Matchs
;Denis Genreau;au AUS;MT,AT;Toulouse;25-235;1999;0.5;1;1;0;0;1;1;2;50.0;1;0;0;0;0;1;1;0;Matchs
;Aleksandr Golovin;ru RUS;MT,AT;Monaco;28-226;1996;10.8;33;22;8;18;7;16;31;51.6;15;14;4;10;9;42;6;0;Matchs
;André Gomes;pt POR;MT;Lille;31-165;1993;5.3;5;3;2;2;1;2;11;18.2;9;2;1;1;3;8;4;1;Matchs
;Angel Gomes;eng ENG;MT;Lille;24-133;2000;7.1;8;4;4;2;2;2;10;20.0;8;0;0;0;0;8;2;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Carlos Gómez;co COL;MT,AT;Rennes;22-121;2002;3.1;7;6;2;4;1;3;7;42.9;4;3;0;3;1;8;2;0;Matchs
;Amine Gouiri;dz ALG;MT,AT;Rennes;24-330;2000;10.0;8;5;4;3;1;2;7;28.6;5;7;0;7;1;9;3;0;Matchs
;Jonathan Gradit;fr FRA;DF;Lens;32-048;1992;8.3;18;9;10;7;1;10;19;52.6;9;9;4;5;12;30;26;0;Matchs
;Samuel Grandsir;fr FRA;MT,AT;Le Havre;28-150;1996;0.9;5;5;0;3;2;2;3;66.7;1;2;0;2;0;5;0;0;Matchs
;Mason Greenwood;eng ENG;AT,MT;Marseille;23-102;2001;15.1;21;11;8;8;5;11;25;44.0;14;3;0;3;6;27;5;1;Matchs
;Albert Grønbaek;dk DEN;MT,AT;Rennes;23-233;2001;8.8;21;11;10;7;4;10;28;35.7;18;8;0;8;4;25;6;0;Matchs
;Gabriel Gudmundsson;se SWE;DF;Lille;25-257;1999;12.0;22;16;6;10;6;15;25;60.0;10;14;4;10;8;30;22;2;Matchs
;Axel Gueguin;fr FRA;AT;Montpellier;19-293;2005;0.3;1;1;0;1;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Evann Guessand;ci CIV;AT,MT;Nice;23-194;2001;15.4;21;12;5;9;7;1;4;25.0;3;11;1;10;6;27;9;0;Matchs
;Bahereba Guirassy;fr FRA;AT,MT;Nantes;18-135;2006;1.2;2;2;0;0;2;1;3;33.3;2;3;0;3;0;2;1;0;Matchs
;Massadio Haïdara;ml MLI;DF;Brest;32-040;1992;7.2;8;4;5;3;0;4;12;33.3;8;4;0;4;11;19;32;0;Matchs
;Achraf Hakimi;ma MAR;DF;Paris S-G;26-068;1998;13.4;32;25;14;11;7;20;32;62.5;12;13;0;13;19;51;9;2;Matchs
;Florent Hanin;dz ALG;DF;Angers;34-342;1990;12.7;30;24;16;10;4;17;30;56.7;13;6;2;4;22;52;42;2;Matchs
;Amine Harit;ma MAR;MT;Marseille;27-207;1997;5.2;7;6;0;5;2;1;2;50.0;1;6;0;6;3;10;1;1;Matchs
;Hans Hateboer;nl NED;DF;Rennes;31-002;1994;11.3;19;11;10;5;4;9;20;45.0;11;13;4;9;16;35;31;0;Matchs
;Luis Henrique;br BRA;AT,DF;Marseille;23-028;2001;13.6;9;5;3;5;1;5;5;100.0;0;10;2;8;5;14;16;0;Matchs
;Lucas Hernández;fr FRA;DF;Paris S-G;28-332;1996;0.6;3;1;2;1;0;3;6;50.0;3;0;0;0;1;4;1;0;Matchs
;Ki-Jana Hoever;nl NED;DF;Auxerre;22-359;2002;11.3;24;18;14;7;3;13;24;54.2;11;16;1;15;11;35;33;0;Matchs
;Cédric Hountondji;bj BEN;DF;Angers;30-358;1994;3.0;6;4;4;2;0;3;7;42.9;4;3;3;0;4;10;14;0;Matchs
;Ilyes Housni;fr FRA;AT;Le Havre;19-242;2005;2.2;6;4;1;3;2;2;4;50.0;2;2;0;2;1;7;2;0;Matchs
;Pierre Højbjerg;dk DEN;MT;Marseille;29-159;1995;14.9;36;26;17;15;4;22;44;50.0;22;17;4;13;22;58;22;1;Matchs
;George Ilenikhena;fr FRA;AT;Monaco;18-148;2006;6.1;1;1;0;1;0;0;1;0.0;1;0;0;0;1;2;0;0;Matchs
;Rareş Ilie;ro ROU;MT;Nice;21-267;2003;0.1;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Ismaily;br BRA;DF;Lille;35-000;1990;1.8;8;3;4;1;3;2;5;40.0;3;4;0;4;1;9;6;0;Matchs
;Yanis Issoufou;fr FRA;MT,AT;Montpellier;18-075;2006;0.9;6;4;4;1;1;3;5;60.0;2;1;0;1;0;6;1;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Junya Ito;jp JPN;AT;Reims;31-308;1993;15.6;20;15;6;9;5;6;30;20.0;24;20;0;20;6;26;4;1;Matchs
;Ismail Jakobs;sn SEN;DF;Monaco;25-147;1999;2.0;5;5;3;0;2;3;5;60.0;2;0;0;0;2;7;6;0;Matchs
;Jordan James;wls WAL;MT;Rennes;20-193;2004;4.4;8;4;3;4;1;6;10;60.0;4;5;0;5;7;15;5;0;Matchs
;Karl-Johan Johnsson;se SWE;GB;Strasbourg;34-349;1990;3.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;3;0;Matchs
;Paul Joly;fr FRA;DF;Auxerre;24-218;2000;6.5;25;15;14;10;1;13;28;46.4;15;6;0;6;17;42;20;5;Matchs
;Jota;pt POR;AT,MT;Rennes;25-287;1999;3.7;5;2;2;3;0;4;7;57.1;3;1;0;1;3;8;2;0;Matchs
;Antoine Joujou;fr FRA;MT,AT;Le Havre;21-305;2003;4.4;6;5;4;1;1;2;4;50.0;2;9;2;7;5;11;3;0;Matchs
;Jubal;br BRA;DF;Auxerre;31-135;1993;14.4;29;21;25;3;1;15;25;60.0;10;35;18;17;10;39;83;1;Matchs
;Hamed Junior Traorè;ci CIV;MT;Auxerre;24-330;2000;13.0;24;11;6;12;6;9;33;27.3;24;5;0;5;4;28;7;0;Matchs
;Yaya Kader Fofana;ml MLI;MT,AT;Reims;20-213;2004;7.0;17;11;8;5;4;4;12;33.3;8;11;2;9;3;20;2;0;Matchs
;Tino Kadewere;zw ZIM;MT,AT;Nantes;29-006;1996;5.3;13;7;4;3;6;6;12;50.0;6;3;0;3;5;18;8;0;Matchs
;Arnaud Kalimuendo;fr FRA;AT;Rennes;22-357;2002;13.1;7;5;2;3;2;3;4;75.0;1;4;1;3;2;9;5;0;Matchs
;Waren Kamanzi;no NOR;DF,MT;Toulouse;24-061;2000;7.6;24;12;10;11;3;12;21;57.1;9;2;0;2;5;29;18;0;Matchs
;Glen Kamara;fi FIN;MT;Rennes;29-075;1995;7.4;23;11;10;11;2;11;17;64.7;6;7;0;7;7;30;7;0;Matchs
;Nordine Kandil;fr FRA;MT;Strasbourg;23-072;2001;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Lee Kang-in;kr KOR;AT,MT;Paris S-G;23-327;2001;10.1;15;10;5;5;5;13;22;59.1;9;2;0;2;1;16;3;0;Matchs
;Yassine Kechta;ma MAR;MT,AT;Le Havre;22-321;2002;11.4;32;19;15;14;3;17;45;37.8;28;16;2;14;12;44;11;1;Matchs
;Thilo Kehrer;de GER;DF;Monaco;28-112;1996;14.0;27;19;20;7;0;16;27;59.3;11;9;6;3;16;43;67;1;Matchs
;Reda Khadra;de GER;MT,AT;Reims;23-191;2001;0.9;1;1;1;0;0;0;1;0.0;1;0;0;0;0;1;1;0;Matchs
;Wahbi Khazri;tn TUN;AT,MT;Montpellier;33-338;1991;7.5;16;11;4;9;3;5;11;45.5;6;5;1;4;4;20;5;0;Matchs
;Abdukodir Khusanov;uz UZB;DF;Lens;20-317;2004;10.8;15;11;9;5;1;7;11;63.6;4;17;11;6;26;41;57;0;Matchs
;Joshua King;no NOR;AT,MT;Toulouse;32-362;1992;10.0;6;6;2;2;2;2;6;33.3;4;5;2;3;2;8;11;0;Matchs
;Cédric Kipré;ci CIV;DF;Reims;28-033;1996;10.8;22;15;17;5;0;17;24;70.8;7;17;8;9;15;37;62;1;Matchs
;Hervé Koffi;bf BFA;GB;Lens;28-087;1996;1.0;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Philipp Köhn;ch SUI;GB;Monaco;26-284;1998;10.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;6;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Randal Kolo Muani;fr FRA;AT;Paris S-G;26-037;1998;4.0;4;4;1;1;2;0;2;0.0;2;1;0;1;0;4;5;0;Matchs
;Geoffrey Kondogbia;cf CTA;DF,MT;Marseille;31-331;1993;12.2;34;20;20;13;1;21;24;87.5;3;11;1;10;11;45;36;2;Matchs
;Abdoul Koné;fr FRA;DF;Reims;19-264;2005;1.2;5;3;4;1;0;3;5;60.0;2;2;1;1;1;6;4;0;Matchs
;Amadou Koné;ml MLI;MT;Reims;19-242;2005;5.9;22;15;12;10;0;10;14;71.4;4;9;2;7;8;30;7;0;Matchs
;Ismaël Koné;ca CAN;MT,AT;Marseille;22-219;2002;4.0;8;4;3;3;2;3;4;75.0;1;4;1;3;4;12;2;1;Matchs
;Emmanuel Koum Mbondo;fr FRA;DF;Marseille;18-341;2006;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Boubakar Kouyaté;ml MLI;DF;Montpellier;27-271;1997;1.2;4;1;3;1;0;3;5;60.0;2;0;0;0;3;7;5;0;Matchs
;Sael Kumbedi;fr FRA;DF;Lyon;19-291;2005;2.0;5;2;1;3;1;4;5;80.0;1;0;0;0;4;9;5;0;Matchs
;Daler Kuzyaev;ru RUS;MT;Le Havre;31-362;1993;6.3;13;8;7;4;2;2;9;22.2;7;7;4;3;9;22;8;0;Matchs
;Rémy Labeau Lascary;gp GLP;AT,MT;Lens;21-314;2003;7.1;16;10;7;6;3;5;11;45.5;6;5;0;5;1;17;7;0;Matchs
;Gaëtan Laborde;fr FRA;AT;Nice;30-253;1994;5.1;8;5;5;3;0;4;10;40.0;6;5;0;5;3;11;3;0;Matchs
;Alexandre Lacazette;fr FRA;AT;Lyon;33-228;1991;11.5;6;3;1;4;1;3;10;30.0;7;5;0;5;3;9;3;0;Matchs
;Alban Lafont;fr FRA;GB;Nantes;25-354;1999;12.0;1;1;1;0;0;1;1;100.0;0;2;0;2;0;1;8;1;Matchs
;Kenny Lala;mg MAD;DF;Brest;33-100;1991;12.8;35;23;20;11;4;23;36;63.9;13;18;8;10;11;46;28;0;Matchs
;Mohamed Lamine Bayo;gn GUI;AT,MT;Lille;26-221;1998;2.5;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Gautier Larsonneur;fr FRA;GB;Saint-Étienne;27-323;1997;16.0;1;0;1;0;0;0;1;0.0;1;0;0;0;0;1;12;0;Matchs
;Julien Le Cardinal;fr FRA;DF;Brest;27-161;1997;8.8;14;9;8;6;0;6;10;60.0;4;11;8;3;24;38;39;0;Matchs
;Jérémy Le Douaron;fr FRA;AT;Brest;26-265;1998;1.1;1;0;0;0;1;0;1;0.0;1;1;0;1;0;1;0;0;Matchs
;Benjamin Lecomte;fr FRA;GB;Montpellier;33-260;1991;13.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;7;0;Matchs
;Pierre Lees-Melou;fr FRA;MT;Brest;31-231;1993;3.9;11;7;3;5;3;7;10;70.0;3;4;2;2;4;15;2;0;Matchs
;Jordan Lefort;fr FRA;DF;Angers;31-155;1993;16.0;28;18;21;6;1;16;26;61.5;10;25;12;13;15;43;90;1;Matchs
;Félix Lemaréchal;fr FRA;AT,MT;Strasbourg;21-157;2003;3.8;11;9;2;7;2;3;5;60.0;2;6;0;6;5;16;3;0;Matchs
;Donovan Léon;gf GUF;GB;Auxerre;32-069;1992;15.0;0;0;0;0;0;0;2;0.0;2;0;0;0;0;0;9;1;Matchs
;Esteban Lepaul;fr FRA;AT,MT;Angers;24-268;2000;3.3;1;1;0;0;1;0;6;0.0;6;8;1;7;2;3;2;0;Matchs
;Johann Lepenant;fr FRA;MT;Nantes;22-081;2002;11.7;37;21;13;18;6;13;33;39.4;20;12;2;10;10;47;8;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Louis Leroux;fr FRA;MT,AT;Nantes;18-354;2006;0.2;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Pol Lirola;es ESP;DF;Marseille;27-151;1997;4.0;8;5;4;4;0;3;9;33.3;6;4;2;2;0;8;5;0;Matchs
;Gautier Lloris;fr FRA;DF;Le Havre;29-177;1995;16.0;40;26;28;12;0;22;34;64.7;12;14;5;9;11;51;82;0;Matchs
;Andy Logbo;fr FRA;AT;Le Havre;20-250;2004;0.3;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Anthony Lopes;pt POR;GB;Nantes;34-102;1990;2.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2;0;Matchs
;Jordan Lotomba;ch SUI;MT,DF;Nice;26-104;1998;0.4;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Tom Louchet;fr FRA;DF,MT;Nice;21-252;2003;5.3;18;12;12;2;4;12;14;85.7;2;8;3;5;6;24;13;0;Matchs
;Milos Lukovic;rs SRB;AT,MT;Strasbourg;19-054;2005;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Othmane Maamma;ma MAR;AT,MT;Montpellier;19-097;2005;0.7;0;0;0;0;0;0;1;0.0;1;2;0;2;0;0;1;0;Matchs
;Deiver Machado;co COL;DF,MT;Lens;31-131;1993;6.9;13;10;8;4;1;9;10;90.0;1;7;1;6;5;18;8;0;Matchs
;Yvann Macon;fr FRA;DF;Saint-Étienne;26-102;1998;3.2;4;3;0;3;1;1;5;20.0;4;7;2;5;0;4;6;1;Matchs
;Eros Maddy;nl NED;DF;Auxerre;23-341;2001;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Soungoutou Magassa;fr FRA;MT;Monaco;21-095;2003;7.3;26;14;6;18;2;15;27;55.6;12;6;1;5;13;39;12;1;Matchs
;Hugo Magnetti;fr FRA;MT;Brest;26-226;1998;12.0;21;13;7;13;1;8;19;42.1;11;10;3;7;7;28;11;0;Matchs
;Frank Magri;cm CMR;AT;Toulouse;25-129;1999;4.1;1;0;0;0;1;1;4;25.0;3;9;0;9;1;2;4;0;Matchs
;Ainsley Maitland-Niles;eng ENG;DF;Lyon;27-135;1997;12.1;37;22;15;12;10;24;37;64.9;13;17;2;15;17;54;28;5;Matchs
;Radosław Majecki;pl POL;GB;Monaco;25-056;1999;7.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;0;Matchs
;Nikola Maksimović;rs SRB;DF;Montpellier;33-047;1991;6.5;9;5;6;3;0;6;7;85.7;1;5;4;1;6;15;30;1;Matchs
;Hianga Mananga Mbock;fr FRA;MT;Brest;25-014;1999;0.2;0;0;0;0;0;0;0;;0;0;0;0;1;1;0;0;Matchs
;Steve Mandanda;fr FRA;GB;Rennes;39-289;1985;15.5;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;6;2;Matchs
;Aïssa Mandi;dz ALG;DF;Lille;33-081;1991;11.3;17;10;4;10;3;10;15;66.7;5;16;8;8;8;25;25;0;Matchs
;Orel Mangala;be BEL;MT;Lyon;26-299;1998;0.7;1;0;0;0;1;0;1;0.0;1;2;0;2;0;1;1;0;Matchs
;Sekou Mara;fr FRA;AT,MT;Strasbourg;22-165;2002;6.7;8;5;0;4;4;2;7;28.6;5;7;0;7;3;11;2;0;Matchs
;Marquinhos;br BRA;DF;Paris S-G;30-242;1994;11.3;18;12;6;8;4;14;18;77.8;4;15;6;9;7;25;34;0;Matchs
;Jonas Martin;fr FRA;MT;Brest;34-277;1990;5.1;11;5;8;2;1;5;10;50.0;5;3;0;3;6;17;11;1;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Han-Noah Massengo;fr FRA;MT;Auxerre;23-188;2001;0.3;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;0;0;Matchs
;Clinton Mata;ao ANG;DF;Lyon;32-065;1992;12.1;21;13;12;8;1;17;21;81.0;4;10;6;4;19;40;28;2;Matchs
;Eliot Matazo;be BEL;MT;Monaco;22-331;2002;0.8;3;2;0;3;0;0;0;;0;0;0;0;1;4;2;0;Matchs
;Nemanja Matić;rs SRB;MT;Lyon;36-163;1988;11.1;20;17;5;13;2;10;19;52.6;9;15;6;9;9;29;14;1;Matchs
;Azor Matusiwa;nl NED;MT;Rennes;26-258;1998;13.2;40;22;18;20;2;21;28;75.0;7;16;5;11;21;61;28;0;Matchs
;Neal Maupay;fr FRA;AT;Marseille;28-150;1996;7.4;7;3;1;5;1;3;3;100.0;0;4;0;4;0;7;0;0;Matchs
;Christian Mawissa;fr FRA;DF;Monaco;19-268;2005;5.2;18;11;8;8;2;13;20;65.0;7;10;1;9;13;31;6;0;Matchs
;Senny Mayulu;fr FRA;MT,DF;Paris S-G;18-239;2006;2.1;9;5;4;4;1;3;6;50.0;3;5;3;2;2;11;3;0;Matchs
;Ethan Mbappé;fr FRA;MT,AT;Lille;18-013;2006;0.9;1;0;0;1;0;0;2;0.0;2;4;0;4;0;1;0;0;Matchs
;Ibrahim Mbaye;fr FRA;AT,MT;Paris S-G;16-353;2008;1.0;0;0;0;0;0;0;3;0.0;3;0;0;0;0;0;0;0;Matchs
;Mark McKenzie;us USA;DF;Toulouse;25-321;1999;13.7;24;14;13;11;0;16;23;69.6;7;15;11;4;11;35;61;0;Matchs
;Facundo Medina;ar ARG;DF,MT;Lens;25-228;1999;13.7;28;19;14;12;2;13;21;61.9;8;13;4;9;18;46;30;0;Matchs
;Henrik Meister;dk DEN;AT;Rennes;21-055;2003;0.7;2;0;0;2;0;0;0;;0;4;0;4;1;3;0;0;Matchs
;Bamo Meïté;ci CIV;DF,MT;Marseille;23-039;2001;0.3;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Mohamed Meité;fr FRA;AT;Rennes;17-092;2007;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Farid El Melali;dz ALG;AT;Angers;27-251;1997;11.4;18;8;8;5;5;7;23;30.4;16;10;1;9;8;26;8;1;Matchs
;Nuno Mendes;pt POR;DF;Paris S-G;22-206;2002;7.0;13;9;5;7;1;9;15;60.0;6;10;5;5;5;18;12;0;Matchs
;Antoine Mendy;fr FRA;DF;Nice;20-229;2004;5.5;22;15;11;11;0;14;21;66.7;7;7;3;4;5;27;19;0;Matchs
;Nampalys Mendy;sn SEN;MT;Lens;32-202;1992;1.2;4;2;3;1;0;2;5;40.0;3;2;1;1;1;5;0;0;Matchs
;Gideon Mensah;gh GHA;DF;Auxerre;26-177;1998;11.3;27;17;17;7;3;13;31;41.9;18;10;1;9;26;53;33;0;Matchs
;Quentin Merlin;fr FRA;DF,MT;Marseille;22-240;2002;7.0;7;6;4;2;1;2;7;28.6;5;5;1;4;7;14;7;1;Matchs
;Rafik Messali;fr FRA;MT;Toulouse;21-258;2003;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Thomas Meunier;be BEL;DF;Lille;33-121;1991;7.1;17;12;13;3;1;10;15;66.7;5;10;3;7;12;29;24;0;Matchs
;Lucas Michel;fr FRA;MT;Monaco;20-266;2004;0.3;;1;;;;;;;;;;;0;;;;Matchs
;Georges Mikautadze;ge GEO;AT;Lyon;24-072;2000;6.6;5;4;1;2;2;2;5;40.0;3;2;0;2;2;7;0;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Igor Miladinović;rs SRB;AT;Saint-Étienne;21-217;2003;0.2;0;0;0;0;0;0;0;;0;0;0;0;1;1;1;0;Matchs
;Takumi Minamino;jp JPN;MT,AT;Monaco;29-361;1995;10.7;11;6;2;5;4;3;13;23.1;10;9;1;8;4;15;8;0;Matchs
;Lucas Mincarelli;fr FRA;DF;Montpellier;21-006;2004;2.8;4;4;1;2;1;1;5;20.0;4;1;1;0;1;5;8;0;Matchs
;Mostafa Mohamed;eg EGY;AT;Nantes;27-044;1997;5.8;8;5;3;4;1;2;7;28.6;5;3;0;3;2;10;12;0;Matchs
;Florent Mollet;fr FRA;MT,AT;Nantes;33-053;1991;1.8;1;1;1;0;0;1;1;100.0;0;2;0;2;1;2;2;0;Matchs
;Diego Moreira;pt POR;DF,MT;Strasbourg;20-158;2004;14.1;20;14;6;10;4;9;19;47.4;10;9;1;8;14;34;32;0;Matchs
;Gabriel Moscardo;br BRA;MT;Reims;19-105;2005;0.4;2;0;2;0;0;1;3;33.3;2;1;1;0;0;2;0;0;Matchs
