Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Dante;br BRA;DF;Nice;41-085;1983;8.3;514;589;87.3;8569;3513;243;260;93.5;236;250;94.4;28;62;45.2;0;0.0;0.2;0.0;0;38;3;0;45;Matchs
;Pape Daouda Diongue;sn SEN;MT,AT;Strasbourg;;;0.8;43;52;82.7;640;96;22;26;84.6;12;14;85.7;4;5;80.0;0;0.2;0.0;-0.2;1;3;0;0;1;Matchs
;Mohammed Daramy;dk DEN;AT;Reims;23-004;2002;0.2;4;4;100.0;40;16;4;4;100.0;0;0;;0;0;;0;0.1;0.2;-0.1;1;0;0;0;0;Matchs
;Jonathan David;ca CAN;AT;Lille;24-363;2000;15.1;279;342;81.6;3623;512;179;208;86.1;82;94;87.2;5;10;50.0;1;1.2;1.7;-0.2;11;13;8;0;25;Matchs
;Zuriko Davitashvili;ge GEO;MT,AT;Saint-Étienne;23-331;2001;14.2;316;399;79.2;4583;1282;177;202;87.6;110;138;79.7;12;30;40.0;2;1.7;1.9;+0.3;22;17;11;3;37;Matchs
;Théo De Percin;mq MTQ;GB;Auxerre;23-344;2001;2.0;31;58;53.4;1059;852;3;3;100.0;9;10;90.0;19;44;43.2;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Thibault De Smet;be BEL;DF;Reims;26-220;1998;2.0;85;95;89.5;1541;474;34;38;89.5;45;45;100.0;6;9;66.7;0;0.0;0.0;0.0;0;9;0;0;7;Matchs
;Romain Del Castillo;fr FRA;AT;Brest;28-288;1996;9.6;340;481;70.7;5779;2067;174;218;79.8;111;150;74.0;43;82;52.4;3;2.4;2.9;+0.6;28;32;21;7;45;Matchs
;Ousmane Dembélé;fr FRA;AT;Paris S-G;27-241;1997;10.0;493;622;79.3;7720;2081;262;307;85.3;174;204;85.3;40;65;61.5;4;5.7;4.5;-1.7;40;49;32;2;75;Matchs
;Arthur Desmas;fr FRA;GB;Le Havre;30-279;1994;16.0;369;462;79.9;9245;5873;74;74;100.0;205;208;98.6;89;177;50.3;0;0.0;0.0;0.0;1;7;0;0;0;Matchs
;Mamadou Diakhon;fr FRA;AT,MT;Reims;19-111;2005;1.8;48;66;72.7;796;114;19;23;82.6;25;33;75.8;2;3;66.7;0;0.1;0.1;-0.1;3;3;1;0;7;Matchs
;Bafodé Diakité;fr FRA;DF;Lille;24-005;2001;17.0;1124;1215;92.5;21280;6873;349;374;93.3;684;705;97.0;80;109;73.4;1;0.1;0.4;+0.9;2;74;0;0;47;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oumar Diakité;ci CIV;AT;Reims;21-022;2003;12.5;204;249;81.9;2922;502;107;126;84.9;73;86;84.9;8;8;100.0;1;1.0;1.1;0.0;10;14;12;2;33;Matchs
;Habib Diarra;sn SEN;MT,AT;Strasbourg;21-008;2004;14.2;454;540;84.1;7428;1558;226;252;89.7;196;222;88.3;22;40;55.0;1;1.6;1.5;-0.6;12;40;11;4;66;Matchs
;Krépin Diatta;sn SEN;DF;Monaco;25-321;1999;2.2;91;131;69.5;1510;516;43;57;75.4;40;53;75.5;6;12;50.0;0;0.0;0.2;0.0;1;5;3;0;9;Matchs
;Kandet Diawara;gn GUI;AT;Le Havre;24-336;2000;0.0;1;2;50.0;6;0;1;2;50.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Mahamadou Diawara;fr FRA;MT;Lyon;19-329;2005;0.2;6;7;85.7;117;60;3;4;75.0;2;2;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Bamba Dieng;sn SEN;AT;Angers;24-294;2000;4.3;55;71;77.5;639;61;37;43;86.0;13;20;65.0;0;1;0.0;0;0.0;0.1;0.0;0;1;1;0;3;Matchs
;Kembo Diliwidi;fr FRA;DF;Lens;18-343;2006;0.0;2;3;66.7;36;22;1;1;100.0;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;1;1;0;1;Matchs
;Sinaly Diomande;ci CIV;DF;Auxerre;23-277;2001;9.8;302;377;80.1;5850;2888;108;126;85.7;158;176;89.8;33;57;57.9;2;0.5;0.1;+1.5;2;25;0;0;36;Matchs
;Lois Diony;fr FRA;AT;Angers;32-022;1992;0.2;1;4;25.0;9;0;1;3;33.3;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Sofiane Diop;fr FRA;MT,AT;Nice;24-216;2000;6.2;239;307;77.9;3753;1221;130;153;85.0;82;103;79.6;16;36;44.4;2;1.0;1.1;+1.0;13;24;7;0;29;Matchs
;Andy Diouf;fr FRA;MT;Lens;21-239;2003;12.4;417;544;76.7;5620;1507;257;297;86.5;122;148;82.4;17;41;41.5;1;0.9;1.3;+0.1;11;26;14;1;65;Matchs
;Yehvann Diouf;fr FRA;GB;Reims;25-056;1999;16.0;412;592;69.6;11097;8173;79;80;98.8;209;213;98.1;122;291;41.9;0;0.0;0.0;0.0;0;7;0;0;0;Matchs
;Assane Dioussé;sn SEN;MT;Auxerre;27-113;1997;1.9;76;82;92.7;1455;429;38;38;100.0;26;28;92.9;12;14;85.7;0;0.0;0.0;0.0;1;5;0;0;10;Matchs
;Álex Domínguez;es ESP;GB;Toulouse;26-165;1998;0.2;8;11;72.7;255;195;2;2;100.0;2;2;100.0;3;6;50.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Gianluigi Donnarumma;it ITA;GB;Paris S-G;25-321;1999;11.2;279;321;86.9;6088;3695;64;64;100.0;165;166;99.4;49;90;54.4;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Désiré Doué;fr FRA;AT;Paris S-G;19-222;2005;6.5;259;315;82.2;3849;774;156;169;92.3;81;101;80.2;14;28;50.0;2;2.4;1.6;-0.4;18;17;13;5;35;Matchs
;Guela Doué;ci CIV;DF;Strasbourg;22-086;2002;15.0;860;1030;83.5;15815;6708;315;333;94.6;469;546;85.9;65;120;54.2;0;0.2;0.4;-0.2;5;71;7;4;73;Matchs
;Douglas;br BRA;MT;Nantes;27-364;1997;14.4;605;705;85.8;10107;3206;273;306;89.2;271;297;91.2;42;65;64.6;2;1.0;0.7;+1.0;10;70;8;1;79;Matchs
;Ismaël Doukouré;fr FRA;MT,DF;Strasbourg;21-171;2003;12.8;577;667;86.5;10138;2790;236;261;90.4;285;316;90.2;44;66;66.7;1;0.7;0.3;+0.3;8;47;0;0;50;Matchs
;Kamory Doumbia;ml MLI;MT,AT;Brest;21-328;2003;6.5;262;319;82.1;4233;886;130;139;93.5;95;111;85.6;22;44;50.0;1;0.5;0.7;+0.5;10;21;4;0;30;Matchs
;Amidou Doumbouya;fr FRA;DF;Nice;17-159;2007;0.5;19;25;76.0;252;66;13;14;92.9;6;9;66.7;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Jean-Kevin Duverne;ht HAI;DF;Nantes;27-183;1997;6.0;238;304;78.3;3826;1571;123;141;87.2;96;112;85.7;17;37;45.9;0;0.1;0.1;-0.1;1;22;2;2;22;Matchs
;Stefan Džodić;rs SRB;DF,MT;Montpellier;19-302;2005;2.1;112;123;91.1;2026;757;42;46;91.3;66;69;95.7;3;7;42.9;0;0.0;0.0;0.0;0;9;0;0;7;Matchs
;Aron Dønnum;no NOR;DF,MT;Toulouse;26-266;1998;13.0;367;496;74.0;6039;2076;205;225;91.1;127;172;73.8;30;69;43.5;0;0.7;1.3;-0.7;8;26;11;1;53;Matchs
;Jacques Ekomie;ga GAB;DF;Angers;21-145;2003;3.2;95;138;68.8;1270;572;61;68;89.7;28;44;63.6;3;11;27.3;0;0.0;0.0;0.0;0;4;0;0;8;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pierre Ekwah Elimby;fr FRA;MT,DF;Saint-Étienne;22-362;2002;12.7;555;629;88.2;9619;2900;244;263;92.8;251;265;94.7;44;75;58.7;0;0.2;0.5;-0.2;6;50;6;0;51;Matchs
;Breel Embolo;ch SUI;AT;Monaco;27-332;1997;10.1;131;182;72.0;1815;359;85;112;75.9;30;36;83.3;10;14;71.4;2;2.5;1.3;-0.5;15;5;11;0;22;Matchs
;Emanuel Emegha;nl NED;AT;Strasbourg;21-343;2003;9.7;85;116;73.3;1019;81;54;71;76.1;21;25;84.0;1;1;100.0;2;1.7;0.3;+0.3;8;2;2;0;3;Matchs
;Romain Faivre;fr FRA;MT,AT;Brest;26-181;1998;5.6;148;181;81.8;2347;694;86;101;85.1;49;56;87.5;11;15;73.3;2;0.7;1.1;+1.3;6;19;3;0;22;Matchs
;Khalil Fayad;fr FRA;MT,AT;Montpellier;20-216;2004;3.1;135;156;86.5;2493;711;62;69;89.9;52;58;89.7;19;26;73.1;0;0.2;0.3;-0.2;4;13;2;0;18;Matchs
;Zinedine Ferhat;dz ALG;AT,MT;Angers;31-316;1993;2.8;98;144;68.1;1665;573;51;62;82.3;30;47;63.8;14;26;53.8;0;0.4;0.7;-0.4;4;7;5;1;16;Matchs
;Edimilson Fernandes;ch SUI;MT;Brest;28-271;1996;5.7;249;282;88.3;4503;1041;101;108;93.5;114;124;91.9;27;35;77.1;0;0.5;0.2;-0.5;3;16;0;0;18;Matchs
;Matias Fernandez-Pardo;be BEL;AT;Lille;19-343;2005;4.9;95;131;72.5;1453;308;49;64;76.6;37;43;86.0;5;10;50.0;1;1.1;0.7;-0.1;6;4;4;0;10;Matchs
;Jordan Ferri;fr FRA;MT;Montpellier;32-305;1992;9.8;511;571;89.5;9220;2457;216;231;93.5;224;241;92.9;58;81;71.6;1;0.5;0.8;+0.5;8;51;3;3;66;Matchs
;Karol Fila;pl POL;MT;Strasbourg;26-212;1998;0.1;2;4;50.0;18;0;1;1;100.0;0;0;;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Malick Fofana;be BEL;AT;Lyon;19-286;2005;10.0;270;353;76.5;3899;915;164;189;86.8;87;111;78.4;10;22;45.5;2;1.3;2.6;+0.7;10;15;17;9;27;Matchs
;Seko Fofana;ci CIV;MT;Rennes;29-249;1995;0.3;23;27;85.2;297;23;17;18;94.4;6;7;85.7;0;2;0.0;0;0.0;0.0;0.0;0;3;0;0;0;Matchs
;Yahia Fofana;ci CIV;GB;Angers;24-143;2000;16.0;347;498;69.7;9976;7172;54;54;100.0;172;175;98.3;121;267;45.3;0;0.0;0.0;0.0;0;4;0;0;0;Matchs
;Lamine Fomba;fr FRA;MT;Saint-Étienne;26-351;1998;0.8;33;43;76.7;734;257;12;16;75.0;14;17;82.4;7;10;70.0;0;0.0;0.0;0.0;0;6;0;0;6;Matchs
;Przemysław Frankowski;pl POL;DF;Lens;29-274;1995;11.5;661;822;80.4;10179;3921;368;413;89.1;236;277;85.2;37;71;52.1;1;1.3;1.7;-0.3;13;68;23;5;86;Matchs
;Angelo Fulgini;fr FRA;MT,AT;Lens;28-144;1996;7.4;305;390;78.2;4445;1221;179;202;88.6;84;104;80.8;22;45;48.9;1;1.8;1.6;-0.8;11;19;16;4;42;Matchs
;Gauthier Gallon;fr FRA;GB;Rennes;31-263;1993;0.5;16;19;84.2;277;175;7;7;100.0;7;7;100.0;2;5;40.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Ignatius Ganago;cm CMR;AT,MT;Nantes;25-330;1999;2.7;59;77;76.6;859;169;32;39;82.1;25;30;83.3;1;3;33.3;0;0.3;0.1;-0.3;5;2;1;1;9;Matchs
;Ulisses Garcia;ch SUI;DF;Marseille;29-000;1996;4.6;214;261;82.0;3205;801;118;133;88.7;77;94;81.9;11;16;68.8;1;0.7;0.6;+0.3;4;10;6;4;14;Matchs
;Jean-Philippe Gbamin;ci CIV;MT;Nantes;29-108;1995;2.3;88;113;77.9;1320;412;51;64;79.7;30;34;88.2;4;8;50.0;0;0.0;0.0;0.0;0;11;1;0;12;Matchs
;Yann Gboho;fr FRA;MT,AT;Toulouse;23-363;2001;14.2;205;308;66.6;2978;1053;118;152;77.6;66;92;71.7;11;18;61.1;2;2.1;2.5;-0.1;13;24;15;0;53;Matchs
;Denis Genreau;au AUS;MT,AT;Toulouse;25-235;1999;0.5;26;35;74.3;379;181;16;18;88.9;6;7;85.7;2;6;33.3;0;0.4;0.3;-0.4;4;1;3;0;6;Matchs
;Aleksandr Golovin;ru RUS;MT,AT;Monaco;28-226;1996;10.8;451;577;78.2;7175;2569;236;282;83.7;150;182;82.4;47;76;61.8;0;2.2;2.6;-2.2;21;64;23;2;100;Matchs
;André Gomes;pt POR;MT;Lille;31-165;1993;5.3;299;338;88.5;4963;1235;143;150;95.3;118;132;89.4;27;35;77.1;0;0.2;0.8;-0.2;4;27;6;0;30;Matchs
;Angel Gomes;eng ENG;MT;Lille;24-133;2000;7.1;242;300;80.7;3930;1155;117;139;84.2;99;115;86.1;17;26;65.4;1;2.1;1.5;-1.1;14;25;14;3;43;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Carlos Gómez;co COL;MT,AT;Rennes;22-121;2002;3.1;70;96;72.9;992;231;42;48;87.5;22;34;64.7;4;10;40.0;0;0.2;0.2;-0.2;4;2;4;2;6;Matchs
;Amine Gouiri;dz ALG;MT,AT;Rennes;24-330;2000;10.0;236;305;77.4;3296;760;140;163;85.9;65;84;77.4;14;24;58.3;1;0.3;0.6;+0.7;6;17;8;0;39;Matchs
;Jonathan Gradit;fr FRA;DF;Lens;32-048;1992;8.3;371;453;81.9;6486;2987;150;170;88.2;196;224;87.5;22;50;44.0;0;0.4;0.3;-0.4;4;42;6;2;52;Matchs
;Samuel Grandsir;fr FRA;MT,AT;Le Havre;28-150;1996;0.9;20;32;62.5;357;133;10;14;71.4;8;12;66.7;2;5;40.0;0;0.6;0.3;-0.6;3;8;2;1;6;Matchs
;Mason Greenwood;eng ENG;AT,MT;Marseille;23-102;2001;15.1;558;716;77.9;9527;2121;268;318;84.3;218;257;84.8;57;105;54.3;2;2.9;4.6;-0.9;21;31;34;9;62;Matchs
;Albert Grønbaek;dk DEN;MT,AT;Rennes;23-233;2001;8.8;154;244;63.1;2362;825;92;117;78.6;43;66;65.2;13;34;38.2;1;1.0;0.9;0.0;19;9;13;0;30;Matchs
;Gabriel Gudmundsson;se SWE;DF;Lille;25-257;1999;12.0;485;601;80.7;7881;2068;249;281;88.6;203;242;83.9;26;54;48.1;0;0.8;1.0;-0.8;10;35;10;7;59;Matchs
;Axel Gueguin;fr FRA;AT;Montpellier;19-293;2005;0.3;5;6;83.3;75;34;3;3;100.0;2;2;100.0;0;0;;0;0.0;0.1;0.0;0;0;0;0;1;Matchs
;Evann Guessand;ci CIV;AT,MT;Nice;23-194;2001;15.4;214;278;77.0;3100;872;125;148;84.5;78;97;80.4;6;13;46.2;4;2.6;2.9;+1.4;15;22;14;1;47;Matchs
;Bahereba Guirassy;fr FRA;AT,MT;Nantes;18-135;2006;1.2;24;41;58.5;324;53;14;21;66.7;8;10;80.0;1;3;33.3;0;0.1;0.1;-0.1;1;2;0;0;2;Matchs
;Massadio Haïdara;ml MLI;DF;Brest;32-040;1992;7.2;263;340;77.4;3883;1554;141;150;94.0;111;147;75.5;5;27;18.5;0;0.0;0.1;0.0;0;21;2;0;32;Matchs
;Achraf Hakimi;ma MAR;DF;Paris S-G;26-068;1998;13.4;1098;1245;88.2;14392;4284;717;760;94.3;303;354;85.6;28;46;60.9;5;4.7;4.1;+0.3;35;73;24;6;100;Matchs
;Florent Hanin;dz ALG;DF;Angers;34-342;1990;12.7;546;715;76.4;9054;3999;290;328;88.4;193;272;71.0;52;88;59.1;1;1.3;1.3;-0.3;14;50;15;11;49;Matchs
;Amine Harit;ma MAR;MT;Marseille;27-207;1997;5.2;188;225;83.6;2667;787;110;118;93.2;67;75;89.3;6;14;42.9;3;1.3;0.9;+1.7;16;18;6;0;33;Matchs
;Hans Hateboer;nl NED;DF;Rennes;31-002;1994;11.3;585;693;84.4;10290;3698;232;249;93.2;293;335;87.5;45;72;62.5;0;1.4;1.2;-1.4;11;50;9;4;59;Matchs
;Luis Henrique;br BRA;AT,DF;Marseille;23-028;2001;13.6;451;566;79.7;6959;1932;259;298;86.9;151;189;79.9;31;55;56.4;4;1.6;1.8;+2.4;20;35;12;3;53;Matchs
;Lucas Hernández;fr FRA;DF;Paris S-G;28-332;1996;0.6;45;54;83.3;821;275;19;20;95.0;20;23;87.0;4;6;66.7;0;0.0;0.0;0.0;0;7;0;0;6;Matchs
;Ki-Jana Hoever;nl NED;DF;Auxerre;22-359;2002;11.3;316;471;67.1;5443;2362;150;192;78.1;128;193;66.3;32;52;61.5;1;1.0;1.0;0.0;11;26;19;11;39;Matchs
;Cédric Hountondji;bj BEN;DF;Angers;30-358;1994;3.0;85;100;85.0;1652;391;25;30;83.3;53;57;93.0;6;12;50.0;0;0.0;0.0;0.0;0;3;0;0;1;Matchs
;Ilyes Housni;fr FRA;AT;Le Havre;19-242;2005;2.2;32;49;65.3;406;79;21;27;77.8;8;11;72.7;0;1;0.0;0;0.2;0.3;-0.2;1;1;0;0;3;Matchs
;Pierre Højbjerg;dk DEN;MT;Marseille;29-159;1995;14.9;1279;1380;92.7;19749;6043;693;731;94.8;506;532;95.1;52;75;69.3;0;0.7;1.5;-0.7;14;99;14;0;110;Matchs
;George Ilenikhena;fr FRA;AT;Monaco;18-148;2006;6.1;55;82;67.1;697;133;34;50;68.0;14;15;93.3;1;1;100.0;2;1.3;0.4;+0.7;7;2;2;0;5;Matchs
;Rareş Ilie;ro ROU;MT;Nice;21-267;2003;0.1;8;10;80.0;160;84;4;5;80.0;2;2;100.0;2;2;100.0;0;0.4;0.2;-0.4;4;1;2;0;3;Matchs
;Ismaily;br BRA;DF;Lille;35-000;1990;1.8;115;128;89.8;1557;409;71;77;92.2;39;44;88.6;1;2;50.0;0;0.1;0.7;-0.1;1;4;1;0;12;Matchs
;Yanis Issoufou;fr FRA;MT,AT;Montpellier;18-075;2006;0.9;10;20;50.0;131;32;7;10;70.0;3;4;75.0;0;2;0.0;0;0.0;0.0;0.0;0;0;1;0;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Junya Ito;jp JPN;AT;Reims;31-308;1993;15.6;431;659;65.4;6984;2779;226;268;84.3;137;207;66.2;48;120;40.0;3;4.7;6.1;-1.7;50;44;44;18;82;Matchs
;Ismail Jakobs;sn SEN;DF;Monaco;25-147;1999;2.0;85;105;81.0;1245;497;49;55;89.1;22;30;73.3;8;11;72.7;0;0.2;0.2;-0.2;4;7;5;3;6;Matchs
;Jordan James;wls WAL;MT;Rennes;20-193;2004;4.4;198;224;88.4;3193;811;96;109;88.1;76;81;93.8;16;21;76.2;0;0.4;0.3;-0.4;5;17;5;0;21;Matchs
;Karl-Johan Johnsson;se SWE;GB;Strasbourg;34-349;1990;3.0;107;129;82.9;2158;1272;32;32;100.0;63;65;96.9;12;32;37.5;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Paul Joly;fr FRA;DF;Auxerre;24-218;2000;6.5;272;388;70.1;4878;1688;121;145;83.4;117;154;76.0;31;71;43.7;1;1.1;0.8;-0.1;10;25;9;6;31;Matchs
;Jota;pt POR;AT,MT;Rennes;25-287;1999;3.7;95;132;72.0;1498;360;45;53;84.9;39;51;76.5;5;13;38.5;0;0.3;0.4;-0.3;5;10;6;2;16;Matchs
;Antoine Joujou;fr FRA;MT,AT;Le Havre;21-305;2003;4.4;61;101;60.4;883;214;37;55;67.3;14;26;53.8;5;8;62.5;1;0.6;0.8;+0.4;5;4;4;2;7;Matchs
;Jubal;br BRA;DF;Auxerre;31-135;1993;14.4;412;488;84.4;8313;2677;112;124;90.3;254;271;93.7;44;84;52.4;0;0.4;0.4;-0.4;2;13;4;0;17;Matchs
;Hamed Junior Traorè;ci CIV;MT;Auxerre;24-330;2000;13.0;234;329;71.1;3508;1130;128;150;85.3;72;99;72.7;19;47;40.4;1;1.4;0.9;-0.4;13;25;14;3;51;Matchs
;Yaya Kader Fofana;ml MLI;MT,AT;Reims;20-213;2004;7.0;177;232;76.3;2512;795;113;134;84.3;44;63;69.8;12;19;63.2;1;1.7;1.0;-0.7;7;14;10;1;22;Matchs
;Tino Kadewere;zw ZIM;MT,AT;Nantes;29-006;1996;5.3;110;149;73.8;1608;479;59;77;76.6;42;50;84.0;4;6;66.7;2;1.0;0.5;+1.0;8;6;3;0;16;Matchs
;Arnaud Kalimuendo;fr FRA;AT;Rennes;22-357;2002;13.1;185;241;76.8;2823;428;99;119;83.2;61;67;91.0;13;15;86.7;0;0.5;1.1;-0.5;5;12;6;1;28;Matchs
;Waren Kamanzi;no NOR;DF,MT;Toulouse;24-061;2000;7.6;246;307;80.1;3590;1001;140;158;88.6;92;109;84.4;8;16;50.0;0;0.3;0.2;-0.3;6;17;5;0;22;Matchs
;Glen Kamara;fi FIN;MT;Rennes;29-075;1995;7.4;372;412;90.3;5500;1464;213;234;91.0;130;136;95.6;19;20;95.0;1;0.2;0.7;+0.8;5;34;8;0;34;Matchs
;Nordine Kandil;fr FRA;MT;Strasbourg;23-072;2001;0.1;3;6;50.0;51;6;1;2;50.0;2;2;100.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Lee Kang-in;kr KOR;AT,MT;Paris S-G;23-327;2001;10.1;638;737;86.6;9276;2295;387;412;93.9;172;198;86.9;51;81;63.0;2;3.0;3.7;-1.0;35;49;29;5;78;Matchs
;Yassine Kechta;ma MAR;MT,AT;Le Havre;22-321;2002;11.4;296;378;78.3;4674;1433;160;185;86.5;105;130;80.8;23;35;65.7;0;0.3;0.6;-0.3;9;28;7;3;39;Matchs
;Thilo Kehrer;de GER;DF;Monaco;28-112;1996;14.0;889;989;89.9;16345;6935;309;329;93.9;505;539;93.7;66;103;64.1;0;0.3;0.3;-0.3;3;55;1;0;67;Matchs
;Reda Khadra;de GER;MT,AT;Reims;23-191;2001;0.9;22;30;73.3;338;98;13;13;100.0;9;12;75.0;0;4;0.0;0;0.0;0.0;0.0;1;1;1;0;4;Matchs
;Wahbi Khazri;tn TUN;AT,MT;Montpellier;33-338;1991;7.5;142;217;65.4;2468;820;75;94;79.8;39;61;63.9;20;42;47.6;1;1.2;1.1;-0.2;13;17;5;3;20;Matchs
;Abdukodir Khusanov;uz UZB;DF;Lens;20-317;2004;10.8;483;548;88.1;8942;3769;174;188;92.6;255;276;92.4;43;64;67.2;0;0.3;0.2;-0.3;2;39;4;1;43;Matchs
;Joshua King;no NOR;AT,MT;Toulouse;32-362;1992;10.0;138;196;70.4;1784;380;86;108;79.6;41;56;73.2;3;9;33.3;1;1.5;1.2;-0.5;10;8;7;1;20;Matchs
;Cédric Kipré;ci CIV;DF;Reims;28-033;1996;10.8;483;556;86.9;9005;3329;177;196;90.3;259;287;90.2;41;59;69.5;1;0.6;0.7;+0.4;5;29;1;0;33;Matchs
;Hervé Koffi;bf BFA;GB;Lens;28-087;1996;1.0;18;23;78.3;396;246;5;5;100.0;9;9;100.0;4;9;44.4;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Philipp Köhn;ch SUI;GB;Monaco;26-284;1998;10.0;224;295;75.9;5664;4128;40;40;100.0;120;125;96.0;64;130;49.2;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Randal Kolo Muani;fr FRA;AT;Paris S-G;26-037;1998;4.0;57;78;73.1;755;123;37;50;74.0;14;17;82.4;2;3;66.7;1;0.9;0.6;+0.1;5;0;3;0;5;Matchs
;Geoffrey Kondogbia;cf CTA;DF,MT;Marseille;31-331;1993;12.2;843;909;92.7;13452;4417;419;436;96.1;379;394;96.2;32;58;55.2;0;0.1;0.5;-0.1;2;59;8;1;51;Matchs
;Abdoul Koné;fr FRA;DF;Reims;19-264;2005;1.2;32;48;66.7;690;164;11;13;84.6;16;20;80.0;5;9;55.6;0;0.0;0.0;0.0;0;1;0;0;3;Matchs
