Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Victor Orakpo;ng NGA;AT;Nice;18-211;2006;0.4;15;17;88.2;218;43;10;11;90.9;4;4;100.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Gift Orban;ng NGA;AT,DF;Lyon;22-178;2002;2.1;22;33;66.7;369;117;11;14;78.6;5;7;71.4;4;6;66.7;0;0.0;0.1;0.0;1;1;1;0;2;Matchs
;Gabriel Osho;ng NGA;DF;Auxerre;26-150;1998;11.1;416;478;87.0;8189;2916;127;139;91.4;241;259;93.1;45;72;62.5;0;0.0;0.1;0.0;0;29;0;0;27;Matchs
;Jibril Othman;tn TUN;AT;Saint-Étienne;20-260;2004;0.1;1;1;100.0;10;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Guimissongui Ouattara;fr FRA;AT,MT;Strasbourg;19-081;2005;0.8;29;34;85.3;427;156;12;14;85.7;16;18;88.9;0;1;0.0;0;0.1;0.1;-0.1;2;3;1;0;5;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kassoum Ouattara;fr FRA;DF,AT;Monaco;20-089;2004;3.7;153;190;80.5;2619;911;70;82;85.4;67;76;88.2;12;22;54.5;1;1.3;1.1;-0.3;5;11;7;6;15;Matchs
;Zinédine Ould Khaled;fr FRA;MT;Angers;24-363;2000;0.6;15;17;88.2;257;24;6;8;75.0;8;8;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;2;Matchs
;Beres Owusu;fr FRA;DF;Saint-Étienne;21-114;2003;1.0;20;32;62.5;375;121;9;10;90.0;7;13;53.8;4;8;50.0;0;0.0;0.0;0.0;1;1;1;0;3;Matchs
;Elisha Owusu;gh GHA;MT;Auxerre;27-065;1997;15.4;408;517;78.9;6480;1781;203;242;83.9;172;205;83.9;22;43;51.2;1;0.7;0.4;+0.3;7;36;4;1;50;Matchs
;Willian Pacho;ec ECU;DF;Paris S-G;23-087;2001;13.3;1083;1149;94.3;18828;5335;384;399;96.2;644;662;97.3;43;67;64.2;1;0.1;0.2;+0.9;1;42;1;0;34;Matchs
;Nicolas Pallois;fr FRA;DF;Nantes;37-114;1987;10.0;330;385;85.7;6930;2399;91;107;85.0;190;200;95.0;44;67;65.7;1;0.1;0.1;+0.9;2;21;0;0;21;Matchs
;Kévin Pedro;fr FRA;DF;Saint-Étienne;18-325;2006;0.1;6;11;54.5;89;35;4;5;80.0;2;6;33.3;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Théo Pellenard;fr FRA;DF;Auxerre;30-313;1994;0.5;15;20;75.0;239;37;8;9;88.9;6;8;75.0;1;2;50.0;0;0.0;0.1;0.0;0;1;1;1;1;Matchs
;Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;246;313;78.6;3907;1428;119;136;87.5;111;133;83.5;11;21;52.4;0;0.0;0.1;0.0;1;11;3;2;22;Matchs
;Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;4;4;100.0;76;6;0;0;;4;4;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;92;151;60.9;1457;567;50;71;70.4;33;50;66.0;7;16;43.8;2;1.2;1.1;+0.8;7;9;4;2;11;Matchs
;Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;363;499;72.7;9255;6430;78;78;100.0;199;204;97.5;86;215;40.0;0;0.0;0.0;0.0;0;14;0;0;0;Matchs
;Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;314;443;70.9;5355;1914;161;192;83.9;96;128;75.0;41;84;48.8;4;4.2;2.2;-0.2;31;33;9;3;52;Matchs
;Léo Pétrot;fr FRA;DF;Saint-Étienne;27-271;1997;11.5;379;486;78.0;6253;2357;190;212;89.6;163;198;82.3;22;55;40.0;1;0.4;0.5;+0.6;5;23;7;4;20;Matchs
;Đorđe Petrović;rs SRB;GB;Strasbourg;25-095;1999;13.0;502;636;78.9;12477;8409;108;108;100.0;277;282;98.2;117;245;47.8;0;0.0;0.0;0.0;0;14;1;0;1;Matchs
;Tom Pouilly;fr FRA;DF;Lens;21-207;2003;0.5;24;36;66.7;367;112;11;15;73.3;13;18;72.2;0;1;0.0;0;0.0;0.1;0.0;0;0;0;0;1;Matchs
;Adrien Rabiot;fr FRA;MT;Marseille;29-283;1995;9.6;530;614;86.3;7399;1576;303;330;91.8;191;219;87.2;12;21;57.1;1;0.7;0.7;+0.3;6;62;4;0;60;Matchs
;Gonçalo Ramos;pt POR;AT;Paris S-G;23-205;2001;2.1;28;37;75.7;310;79;20;23;87.0;6;8;75.0;0;0;;2;1.2;0.6;+0.8;7;1;2;0;3;Matchs
;Lilian Raolisoa;fr FRA;DF,AT;Angers;24-209;2000;2.7;89;120;74.2;1521;705;37;40;92.5;42;54;77.8;7;19;36.8;2;1.3;0.6;+0.7;5;11;5;3;13;Matchs
;Rayan Raveloson;mg MAD;MT,DF;Auxerre;27-361;1997;8.0;271;313;86.6;5021;1334;117;124;94.4;104;115;90.4;44;56;78.6;0;0.2;0.3;-0.2;3;19;6;0;31;Matchs
;Guillaume Restes;fr FRA;GB;Toulouse;19-306;2005;15.8;349;465;75.1;8331;5708;93;94;98.9;175;177;98.9;77;190;40.5;0;0.0;0.0;0.0;0;4;0;0;0;Matchs
;Alexsandro Ribeiro;br BRA;DF;Lille;25-155;1999;15.0;1064;1175;90.6;21042;7326;302;325;92.9;663;700;94.7;86;130;66.2;1;0.1;0.4;+0.9;3;104;3;1;98;Matchs
;Valentin Rongier;fr FRA;MT,DF;Marseille;30-035;1994;6.2;438;479;91.4;6194;1624;276;293;94.2;140;150;93.3;11;17;64.7;0;0.2;0.2;-0.2;5;35;0;0;27;Matchs
;Pablo Rosario;nl NED;MT,DF;Nice;28-004;1997;13.0;446;520;85.8;7742;2746;198;219;90.4;213;231;92.2;29;51;56.9;1;0.3;0.4;+0.7;11;45;10;1;54;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jon Rowe;eng ENG;AT,MT;Marseille;21-256;2003;4.5;124;149;83.2;1735;338;75;80;93.8;41;50;82.0;4;9;44.4;2;2.8;0.9;-0.8;9;3;5;2;12;Matchs
;Fabián Ruiz Peña;es ESP;MT;Paris S-G;28-283;1996;8.8;629;699;90.0;10031;2552;337;359;93.9;230;247;93.1;46;59;78.0;1;1.6;1.6;-0.6;16;65;13;3;89;Matchs
;Gerónimo Rulli;ar ARG;GB;Marseille;32-236;1992;16.0;509;607;83.9;11308;7392;132;133;99.2;279;282;98.9;94;187;50.3;0;0.0;0.0;0.0;1;3;0;0;0;Matchs
;Emmanuel Sabbi;us USA;MT,AT;Le Havre;27-018;1997;4.9;64;88;72.7;913;226;35;46;76.1;20;27;74.1;4;8;50.0;0;0.4;0.2;-0.4;3;2;4;1;9;Matchs
;Falaye Sacko;ml MLI;DF;Montpellier;29-255;1995;9.4;393;468;84.0;6389;2486;188;206;91.3;173;199;86.9;21;40;52.5;1;0.1;0.2;+0.9;5;32;2;1;47;Matchs
;Matvei Safonov;ru RUS;GB;Paris S-G;25-321;1999;4.8;132;171;77.2;3322;2121;21;21;100.0;77;77;100.0;33;70;47.1;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Modibo Sagnan;ml MLI;DF;Montpellier;25-272;1999;13.3;496;556;89.2;10551;3552;129;134;96.3;288;303;95.0;72;102;70.6;0;0.5;0.5;-0.5;5;24;3;0;21;Matchs
;Osame Sahraoui;ma MAR;AT,MT;Lille;23-214;2001;9.1;327;385;84.9;4653;1159;199;222;89.6;105;119;88.2;12;17;70.6;3;2.8;3.1;+0.2;21;32;24;1;52;Matchs
;Wesley Saïd;fr FRA;AT,MT;Lens;29-267;1995;4.2;81;102;79.4;978;210;57;63;90.5;18;24;75.0;2;6;33.3;0;0.2;0.3;-0.2;4;4;5;0;12;Matchs
;Théo Sainte-Luce;fr FRA;MT,DF;Montpellier;26-083;1998;0.2;6;6;100.0;105;42;2;2;100.0;2;2;100.0;1;1;100.0;0;0.0;0.0;0.0;1;0;1;1;0;Matchs
;Ibrahim Salah;ma MAR;AT;Brest;23-134;2001;3.7;85;123;69.1;1204;237;47;55;85.5;21;36;58.3;8;15;53.3;1;0.6;0.4;+0.4;6;2;2;2;7;Matchs
;Amine Salama;fr FRA;AT;Reims;24-177;2000;3.0;49;63;77.8;836;161;25;29;86.2;15;18;83.3;7;7;100.0;0;0.2;0.2;-0.2;3;4;1;0;7;Matchs
;Mohammed Salisu;gh GHA;DF;Monaco;25-269;1999;8.3;516;606;85.1;9164;4100;206;239;86.2;276;299;92.3;34;62;54.8;0;0.0;0.1;0.0;3;39;2;0;59;Matchs
;Yoann Salmier;gf GUF;DF;Le Havre;32-051;1992;7.6;248;300;82.7;4863;1646;79;88;89.8;142;153;92.8;27;51;52.9;0;0.2;0.2;-0.2;1;18;1;0;20;Matchs
;Mama Samba Baldé;gw GNB;AT;Lyon;29-066;1995;0.4;4;6;66.7;37;22;3;5;60.0;0;0;;0;0;;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Mama Samba Baldé;gw GNB;AT;Brest;29-066;1995;7.1;99;145;68.3;1424;244;47;64;73.4;32;42;76.2;9;13;69.2;1;1.0;0.7;0.0;8;6;3;2;9;Matchs
;Brice Samba;fr FRA;GB;Lens;30-261;1994;15.0;415;512;81.1;11184;7765;89;90;98.9;185;188;98.4;138;229;60.3;0;0.0;0.1;0.0;0;15;1;0;1;Matchs
;Arouna Sangante;sn SEN;DF;Le Havre;22-274;2002;5.8;232;278;83.5;4288;1609;77;84;91.7;138;151;91.4;12;35;34.3;0;0.1;0.1;-0.1;2;20;1;0;20;Matchs
;Nhoa Sangui;fr FRA;DF;Reims;18-319;2006;6.5;256;314;81.5;3783;957;141;153;92.2;91;110;82.7;12;25;48.0;1;0.3;0.4;+0.7;3;15;2;1;21;Matchs
;Baptiste Santamaria;fr FRA;MT;Rennes;29-308;1995;5.4;254;308;82.5;4350;1435;120;137;87.6;98;113;86.7;27;38;71.1;1;0.3;0.3;+0.7;4;32;4;0;28;Matchs
;Andrey Santos;br BRA;MT;Strasbourg;20-253;2004;14.7;654;748;87.4;10904;3668;300;334;89.8;311;343;90.7;36;45;80.0;0;1.3;0.6;-1.3;14;56;6;0;76;Matchs
;Tiago Santos;pt POR;DF;Lille;22-172;2002;4.5;175;223;78.5;2807;603;97;106;91.5;70;87;80.5;6;19;31.6;0;0.6;0.8;-0.6;5;15;8;4;17;Matchs
;Malang Sarr;fr FRA;DF;Lens;25-354;1999;3.3;163;188;86.7;3220;977;52;56;92.9;89;95;93.7;21;33;63.6;0;0.0;0.3;0.0;0;11;1;0;7;Matchs
;Mamadou Sarr;fr FRA;DF;Strasbourg;19-135;2005;9.5;557;595;93.6;10394;3181;179;184;97.3;337;351;96.0;35;46;76.1;1;0.2;0.1;+0.8;3;27;0;0;19;Matchs
;Martin Satriano;uy URU;AT,DF;Lens;23-326;2001;0.5;10;18;55.6;103;26;8;11;72.7;1;3;33.3;0;1;0.0;0;0.1;0.1;-0.1;2;0;0;0;1;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Téji Savanier;fr FRA;MT;Montpellier;33-020;1991;13.1;553;781;70.8;12220;3925;206;253;81.4;196;257;76.3;133;226;58.8;3;3.9;3.6;-0.9;33;84;12;3;88;Matchs
;Niklas Schmidt;de GER;MT;Toulouse;26-316;1998;2.3;142;180;78.9;2834;884;49;60;81.7;61;68;89.7;27;42;64.3;1;0.7;0.9;+0.3;5;23;4;0;23;Matchs
;Jérémy Sebas;mq MTQ;AT,MT;Strasbourg;21-272;2003;1.7;24;34;70.6;311;61;14;18;77.8;10;13;76.9;0;0;;0;0.0;0.0;0.0;1;3;2;0;3;Matchs
;Alidu Seidu;gh GHA;DF;Rennes;24-221;2000;8.9;426;518;82.2;7350;2223;189;206;91.7;195;227;85.9;34;63;54.0;0;0.3;0.4;-0.3;5;33;8;0;41;Matchs
;Marvin Senaya;tg TOG;DF;Strasbourg;23-349;2001;2.2;106;132;80.3;1815;572;44;47;93.6;52;64;81.3;7;13;53.8;0;0.1;0.0;-0.1;2;6;1;1;5;Matchs
;Djibril Sidibé;fr FRA;DF;Toulouse;32-166;1992;12.1;550;688;79.9;10134;4715;219;244;89.8;262;314;83.4;58;94;61.7;2;2.0;1.5;0.0;12;47;17;7;71;Matchs
;Vincent Sierro;ch SUI;MT;Toulouse;29-095;1995;13.7;590;780;75.6;10475;3615;259;304;85.2;275;337;81.6;47;111;42.3;1;2.5;2.6;-1.5;21;60;17;0;95;Matchs
;Caio Henrique Oliveira Silva;br BRA;DF;Monaco;27-164;1997;7.9;436;557;78.3;6603;2279;257;284;90.5;148;185;80.0;25;66;37.9;1;2.0;2.0;-1.0;17;38;12;3;41;Matchs
;Abdallah Sima;sn SEN;AT;Brest;23-208;2001;5.3;90;130;69.2;1213;281;57;73;78.1;27;41;65.9;3;3;100.0;1;0.2;0.1;+0.8;2;3;2;1;10;Matchs
;Moses Simon;ng NGA;AT,MT;Nantes;29-183;1995;14.1;264;415;63.6;4675;1354;131;166;78.9;101;143;70.6;30;67;44.8;5;2.8;2.6;+2.2;31;10;21;12;30;Matchs
;Lassine Sinayoko;ml MLI;AT,MT;Auxerre;25-034;1999;13.5;283;366;77.3;3731;800;170;205;82.9;86;104;82.7;5;13;38.5;4;3.1;2.4;+0.9;18;13;8;2;35;Matchs
;Wilfried Singo;ci CIV;DF;Monaco;24-017;2000;13.2;716;845;84.7;13466;4690;261;292;89.4;386;413;93.5;60;119;50.4;2;1.2;0.4;+0.8;5;55;6;1;65;Matchs
;Ibrahim Sissoko;ml MLI;AT;Saint-Étienne;29-045;1995;8.9;108;164;65.9;1591;196;66;88;75.0;31;47;66.0;7;11;63.6;1;0.6;0.3;+0.4;7;9;1;0;11;Matchs
;Niama Sissoko;ml MLI;AT;Reims;19-026;2005;0.2;2;5;40.0;53;1;0;0;;1;1;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Leo Skiri Østigård;no NOR;DF;Rennes;25-044;1999;10.9;578;670;86.3;11089;4082;199;223;89.2;314;342;91.8;59;95;62.1;0;0.0;0.1;0.0;1;35;0;0;44;Matchs
;Milan Škriniar;sk SVK;DF;Paris S-G;29-335;1995;4.2;361;374;96.5;6457;2316;133;136;97.8;208;213;97.7;16;20;80.0;0;0.1;0.0;-0.1;1;15;0;0;20;Matchs
;Naatan Skyttä;fi FIN;AT;Toulouse;22-249;2002;0.1;4;4;100.0;32;1;4;4;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Eduard Sobol;ua UKR;DF;Strasbourg;29-266;1995;0.5;12;16;75.0;186;104;8;8;100.0;3;6;50.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Florian Sotoca;fr FRA;AT,MT;Lens;34-078;1990;9.1;285;396;72.0;4181;1121;163;193;84.5;88;125;70.4;21;36;58.3;0;0.7;1.3;-0.7;9;26;14;3;50;Matchs
;Issa Soumaré;sn SEN;AT,MT;Le Havre;24-093;2000;6.9;116;181;64.1;1600;313;68;95;71.6;32;46;69.6;7;17;41.2;0;0.4;0.2;-0.4;8;5;4;0;14;Matchs
;Saidou Sow;gn GUI;DF;Strasbourg;22-191;2002;11.3;577;636;90.7;10281;3407;202;213;94.8;349;367;95.1;25;49;51.0;1;0.2;0.1;+0.8;2;12;2;0;16;Matchs
;Lucas Stassin;be BEL;AT;Saint-Étienne;20-044;2004;6.9;97;139;69.8;1357;153;56;72;77.8;27;37;73.0;7;10;70.0;4;1.9;0.5;+2.1;8;2;2;0;7;Matchs
;Enzo Sternal;fr FRA;AT,MT;Marseille;17-228;2007;0.3;7;8;87.5;77;1;5;5;100.0;1;1;100.0;0;1;0.0;0;0.0;0.0;0.0;1;0;0;0;0;Matchs
;Gabriel Suazo;cl CHI;DF;Toulouse;27-155;1997;9.2;352;453;77.7;5804;2481;178;197;90.4;137;174;78.7;26;57;45.6;3;1.8;2.0;+1.2;16;30;18;7;43;Matchs
;Abakar Sylla;ci CIV;DF;Strasbourg;22-017;2002;7.2;390;447;87.2;6796;2545;142;159;89.3;226;247;91.5;18;34;52.9;0;0.0;0.1;0.0;0;9;0;0;9;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Sylla;gn GUI;DF;Montpellier;31-010;1994;8.6;299;388;77.1;5041;1973;151;176;85.8;111;144;77.1;29;46;63.0;0;0.2;0.4;-0.2;3;32;11;6;33;Matchs
;Musa Al-Taamari;jo JOR;AT,MT;Montpellier;27-215;1997;8.4;178;225;79.1;2604;526;108;121;89.3;47;63;74.6;14;17;82.4;1;1.2;1.0;-0.2;10;11;9;1;20;Matchs
;Nicolás Tagliafico;ar ARG;DF;Lyon;32-133;1992;7.9;445;516;86.2;7128;2322;222;248;89.5;189;211;89.6;26;43;60.5;0;0.2;0.3;-0.2;2;36;4;1;41;Matchs
;Florian Tardieu;fr FRA;MT;Saint-Étienne;32-264;1992;1.9;102;127;80.3;1852;669;46;51;90.2;40;45;88.9;15;26;57.7;0;0.0;0.0;0.0;0;14;0;0;10;Matchs
;Oussama Targhalline;ma MAR;MT;Le Havre;22-236;2002;9.3;292;368;79.3;4835;1481;148;170;87.1;111;130;85.4;24;38;63.2;0;0.7;1.1;-0.7;6;45;11;2;59;Matchs
;Enzo Tchato;cm CMR;DF;Montpellier;22-049;2002;11.8;446;576;77.4;7568;2770;194;229;84.7;203;245;82.9;37;69;53.6;0;0.4;0.5;-0.4;8;31;7;7;33;Matchs
;Tanner Tessmann;us USA;MT;Lyon;23-109;2001;2.7;133;153;86.9;2365;639;60;65;92.3;57;60;95.0;13;23;56.5;0;0.1;0.2;-0.1;2;13;0;0;12;Matchs
;Teddy Teuma;mt MLT;MT;Reims;31-103;1993;3.5;219;282;77.7;3460;881;117;131;89.3;70;86;81.4;19;38;50.0;0;0.5;0.6;-0.5;7;13;5;2;16;Matchs
;Jordan Teze;nl NED;DF;Monaco;25-103;1999;3.4;142;176;80.7;2242;736;71;81;87.7;69;82;84.1;2;5;40.0;0;0.4;0.9;-0.4;5;11;4;0;14;Matchs
;Sorba Thomas;wls WAL;AT,MT;Nantes;25-142;1999;9.1;231;349;66.2;3912;1382;125;148;84.5;71;108;65.7;28;72;38.9;2;1.8;1.5;+0.2;24;21;19;13;27;Matchs
;Adrien Thomasson;fr FRA;MT;Lens;31-032;1993;14.4;627;781;80.3;9689;2734;330;380;86.8;223;269;82.9;45;71;63.4;1;3.3;2.7;-2.3;26;47;20;3;77;Matchs
;Corentin Tolisso;fr FRA;MT;Lyon;30-161;1994;10.9;496;593;83.6;7551;2253;270;310;87.1;182;207;87.9;31;44;70.5;1;3.2;2.2;-2.2;16;54;18;1;73;Matchs
;Abdoulaye Touré;gn GUI;MT;Le Havre;30-314;1994;13.9;459;555;82.7;8149;2415;200;230;87.0;194;228;85.1;51;71;71.8;1;0.1;0.4;+0.9;3;48;6;2;58;Matchs
;Birama Touré;ml MLI;MT,DF;Montpellier;32-219;1992;3.3;101;123;82.1;1809;621;38;45;84.4;53;58;91.4;10;18;55.6;0;0.1;0.0;-0.1;3;4;0;0;9;Matchs
;Ousmane Toure;fr FRA;DF;Lille;19-328;2005;0.1;4;6;66.7;92;47;0;0;;4;6;66.7;0;0;;0;0.0;0.0;0.0;0;0;0;0;2;Matchs
;Adrien Truffert;fr FRA;DF,MT;Rennes;23-052;2001;12.6;492;635;77.5;7350;2224;260;294;88.4;192;247;77.7;19;47;40.4;0;0.5;0.8;-0.5;4;30;9;2;53;Matchs
;Vanderson;br BRA;DF;Monaco;23-204;2001;11.4;505;651;77.6;8362;3032;267;308;86.7;185;239;77.4;40;66;60.6;1;1.2;1.3;-0.2;10;29;10;5;40;Matchs
;Jordan Veretout;fr FRA;MT;Lyon;31-316;1993;9.9;416;511;81.4;7226;1919;191;219;87.2;177;211;83.9;42;60;70.0;0;0.5;0.6;-0.5;10;53;11;0;62;Matchs
;Ben Viadere;fr FRA;MT;Auxerre;19-131;2005;0.1;2;6;33.3;37;27;1;1;100.0;0;2;0.0;1;2;50.0;0;0.0;0.1;0.0;1;0;0;0;0;Matchs
;Vitinha;pt POR;MT;Paris S-G;24-333;2000;11.5;1082;1170;92.5;18576;4385;540;566;95.4;394;413;95.4;122;143;85.3;0;1.4;2.2;-1.4;14;127;18;1;111;Matchs
;Ibrahima Wadji;sn SEN;MT,AT;Saint-Étienne;29-251;1995;1.2;12;17;70.6;154;7;7;8;87.5;5;7;71.4;0;0;;0;0.0;0.0;0.0;1;0;0;0;0;Matchs
;Elye Wahi;fr FRA;AT;Marseille;22-009;2003;6.4;88;111;79.3;1129;158;59;67;88.1;20;23;87.0;3;4;75.0;1;0.4;0.2;+0.6;6;7;0;0;7;Matchs
;Caleb Wiley;us USA;DF,MT;Strasbourg;20-020;2004;3.0;97;123;78.9;1476;602;56;65;86.2;32;37;86.5;5;11;45.5;1;0.7;0.3;+0.3;2;2;3;2;7;Matchs
;Christopher Wooh;cm CMR;DF;Rennes;23-115;2001;9.8;458;522;87.7;9034;3712;137;151;90.7;280;300;93.3;39;65;60.0;0;0.0;0.2;0.0;0;35;2;0;35;Matchs
;Etienne Youte Kinkoue;fr FRA;DF;Le Havre;22-363;2002;11.5;523;585;89.4;10489;3691;130;138;94.2;346;359;96.4;44;80;55.0;0;0.1;0.1;-0.1;1;29;2;1;35;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yoram Zague;fr FRA;DF;Paris S-G;18-241;2006;1.8;152;161;94.4;2505;540;64;68;94.1;81;84;96.4;5;6;83.3;0;0.0;0.1;0.0;1;3;1;1;8;Matchs
;Wilfried Zaha;ci CIV;AT;Lyon;32-062;1992;0.8;28;32;87.5;388;49;14;15;93.3;12;12;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Warren Zaïre-Emery;fr FRA;MT,DF;Paris S-G;18-309;2006;12.6;815;889;91.7;11868;2285;462;483;95.7;287;302;95.0;33;48;68.8;1;0.7;0.6;+0.3;9;50;3;0;61;Matchs
;Miha Zajc;si SVN;MT;Toulouse;30-194;1994;1.5;75;91;82.4;1099;245;40;48;83.3;30;32;93.8;3;7;42.9;0;0.1;0.1;-0.1;2;8;4;0;12;Matchs
;Denis Zakaria;ch SUI;MT;Monaco;28-052;1996;10.3;473;530;89.2;6960;2069;275;296;92.9;174;191;91.1;17;29;58.6;2;0.3;0.5;+1.7;5;32;7;1;32;Matchs
;Anass Zaroury;ma MAR;AT,MT;Lens;24-065;2000;7.6;189;295;64.1;3140;978;93;125;74.4;76;104;73.1;15;40;37.5;1;1.4;1.5;-0.4;17;16;15;5;29;Matchs
;Nathan Zeze;fr FRA;DF;Nantes;19-207;2005;11.6;496;578;85.8;9667;3729;159;170;93.5;292;316;92.4;42;83;50.6;0;0.0;0.1;0.0;0;34;1;0;30;Matchs
;Edon Zhegrova;xk KVX;AT,MT;Lille;25-286;1999;10.9;316;416;76.0;4971;1467;171;192;89.1;123;159;77.4;16;40;40.0;1;2.2;2.4;-1.2;16;17;26;3;54;Matchs
;Luc Zogbé;ci CIV;DF;Brest;19-293;2005;3.4;140;182;76.9;2453;710;60;68;88.2;69;89;77.5;9;19;47.4;0;0.1;0.1;-0.1;3;4;0;0;12;Matchs
;Aristide Zossou;ci CIV;MT;Auxerre;19-211;2005;0.1;13;15;86.7;179;12;6;6;100.0;4;5;80.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Yanis Zouaoui;dz ALG;DF,AT;Le Havre;30-185;1994;3.6;143;192;74.5;2311;745;84;90;93.3;40;53;75.5;15;30;50.0;2;0.6;0.9;+1.4;9;5;6;6;9;Matchs
