Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Buts;Tirs;TC;TC%;Tir/90;TC/90;B/Tir;B/TC;Dist;CF;PénM;PénT;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matchs
Keyliane Abdallah;fr FRA;AT;Marseille;18-281;2006;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Yunis Abdelhamid;ma MAR;DF;Saint-Etienne;37-105;1987;10.4;0;2;1;50.0;0.19;0.10;0.00;0.00;10.8;0;0;0;0.2;0.2;0.12;-0.2;-0.2;Matchs
Himad Abdelli;dz ALG;MT,AT;Angers;25-055;1999;15.8;4;18;4;22.2;1.14;0.25;0.11;0.50;24.8;0;2;3;4.2;1.8;0.10;-0.2;+0.2;Matchs
Mohamed Abdelmoneim;eg EGY;DF;Nice;25-345;1999;6.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Ali Abdi;tn TUN;DF,MT;Nice;31-022;1993;6.5;1;13;4;30.8;2.01;0.62;0.08;0.25;20.6;0;0;0;0.9;0.9;0.07;+0.1;+0.1;Matchs
Matthis Abline;fr FRA;AT;Nantes;21-289;2003;14.6;5;43;14;32.6;2.94;0.96;0.09;0.29;14.2;0;1;1;4.4;3.6;0.08;+0.6;+0.4;Matchs
Abner;br BRA;DF;Lyon;24-229;2000;8.3;1;6;3;50.0;0.73;0.36;0.17;0.33;19.9;0;0;0;0.2;0.2;0.03;+0.8;+0.8;Matchs
Zakaria Aboukhlal;ma MAR;MT,AT;Toulouse;24-328;2000;13.9;6;40;18;45.0;2.87;1.29;0.13;0.28;14.3;0;1;2;8.3;6.7;0.17;-2.3;-1.7;Matchs
Akor Adams;ng NGA;AT;Montpellier;24-348;2000;10.9;3;25;12;48.0;2.28;1.10;0.12;0.25;13.5;0;0;0;4.2;4.2;0.17;-1.2;-1.2;Matchs
Martin Adeline;fr FRA;MT;Reims;21-040;2003;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Adryelson;br BRA;DF;Lyon;26-294;1998;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Emmanuel Agbadou;ci CIV;DF;Reims;27-208;1997;14.0;0;15;3;20.0;1.07;0.21;0.00;0.00;28.8;1;0;0;0.5;0.5;0.04;-0.5;-0.5;Matchs
Ruben Aguilar;fr FRA;DF;Lens;31-260;1993;3.0;0;2;0;0.0;0.67;0.00;0.00;;13.3;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matchs
Jean-Eudes Aholou;ci CIV;MT;Angers;30-297;1994;13.0;2;20;5;25.0;1.54;0.38;0.10;0.40;20.6;0;0;0;1.3;1.3;0.06;+0.7;+0.7;Matchs
Ayman Aiki;fr FRA;AT,MT;Saint-Etienne;19-200;2005;1.4;0;3;1;33.3;2.13;0.71;0.00;0.00;23.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Ludovic Ajorque;fr FRA;AT;Brest;30-321;1994;11.6;4;15;8;53.3;1.29;0.69;0.27;0.50;12.8;0;0;1;3.1;2.3;0.15;+0.9;+1.7;Matchs
Ümit Akdag;ro ROU;DF;Toulouse;21-097;2003;2.5;0;1;0;0.0;0.39;0.00;0.00;;31.6;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Sergio Akieme;es ESP;DF;Reims;27-026;1997;12.8;1;11;2;18.2;0.86;0.16;0.09;0.50;19.5;0;0;0;0.5;0.5;0.04;+0.5;+0.5;Matchs
Maghnes Akliouche;fr FRA;AT,MT;Monaco;22-321;2002;11.6;2;25;4;16.0;2.15;0.34;0.08;0.50;17.2;0;0;0;3.1;3.1;0.12;-1.1;-1.1;Matchs
Clément Akpa;ci CIV;DF;Auxerre;23-048;2001;13.8;0;4;1;25.0;0.29;0.07;0.00;0.00;19.3;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Mohamed Ali Cho;fr FRA;AT,MT;Nice;20-358;2004;8.8;2;15;8;53.3;1.71;0.91;0.13;0.25;17.0;0;0;0;1.7;1.7;0.11;+0.3;+0.3;Matchs
Jim Allevinah;ga GAB;AT;Angers;29-319;1995;9.0;0;20;4;20.0;2.22;0.44;0.00;0.00;15.4;0;0;0;1.8;1.8;0.09;-1.8;-1.8;Matchs
Jordan Amavi;fr FRA;DF;Brest;30-308;1994;8.3;0;8;3;37.5;0.97;0.36;0.00;0.00;25.0;1;0;0;0.3;0.3;0.03;-0.3;-0.3;Matchs
Kelvin Amian;fr FRA;DF,MT;Nantes;26-338;1998;11.9;1;4;2;50.0;0.34;0.17;0.25;0.50;19.6;0;0;0;0.2;0.2;0.04;+0.8;+0.8;Matchs
Michael Amir Murillo;pa PAN;DF;Marseille;28-335;1996;13.8;0;6;0;0.0;0.43;0.00;0.00;;24.1;2;0;0;0.3;0.3;0.04;-0.3;-0.3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Mathis Amougou;fr FRA;MT;Saint-Etienne;18-359;2006;8.0;0;5;1;20.0;0.62;0.12;0.00;0.00;19.8;0;0;0;0.4;0.4;0.07;-0.4;-0.4;Matchs
Benjamin André;fr FRA;MT;Lille;34-161;1990;14.9;0;12;3;25.0;0.80;0.20;0.00;0.00;15.1;0;0;0;1.2;1.2;0.10;-1.2;-1.2;Matchs
Dennis Appiah;fr FRA;DF;Saint-Etienne;32-216;1992;12.3;0;2;0;0.0;0.16;0.00;0.00;;22.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Carlens Arcus;ht HAI;DF;Angers;28-197;1996;14.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Hákon Arnar Haraldsson;is ISL;MT,AT;Lille;21-276;2003;5.8;1;11;3;27.3;1.90;0.52;0.09;0.33;17.6;2;0;0;1.4;1.4;0.13;-0.4;-0.4;Matchs
Marco Asensio;es ESP;AT,MT;Paris S-G;28-356;1996;6.8;2;25;14;56.0;3.69;2.07;0.08;0.14;14.8;2;0;0;5.5;5.5;0.22;-3.5;-3.5;Matchs
Lorenz Assignon;tg TOG;DF,MT;Rennes;24-203;2000;10.5;1;5;2;40.0;0.48;0.19;0.20;0.50;20.7;0;0;0;0.3;0.3;0.05;+0.7;+0.7;Matchs
Dehmaine Assoumani;fr FRA;MT,AT;Nantes;19-269;2005;0.4;0;2;1;50.0;4.50;2.25;0.00;0.00;24.1;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Valentin Atangana Edoa;fr FRA;MT;Reims;19-139;2005;14.7;0;12;1;8.3;0.81;0.07;0.00;0.00;25.5;0;0;0;0.3;0.3;0.02;-0.3;-0.3;Matchs
Florian Ayé;fr FRA;AT;Auxerre;27-358;1997;3.5;0;5;1;20.0;1.44;0.29;0.00;0.00;14.7;0;0;0;0.4;0.4;0.08;-0.4;-0.4;Matchs
André Ayew;gh GHA;AT;Le Havre;35-025;1989;6.6;1;8;2;25.0;1.21;0.30;0.13;0.50;13.5;2;0;0;1.4;1.4;0.17;-0.4;-0.4;Matchs
Neil El Aynaoui;fr FRA;MT;Lens;23-193;2001;3.2;1;4;1;25.0;1.25;0.31;0.25;1.00;12.2;0;0;0;0.5;0.5;0.13;+0.5;+0.5;Matchs
Shavy Babicka;ga GAB;MT,AT;Toulouse;24-224;2000;5.8;4;11;5;45.5;1.90;0.86;0.36;0.80;13.9;0;0;0;2.5;2.5;0.22;+1.5;+1.5;Matchs
Theo Bair;ca CAN;AT;Auxerre;25-137;1999;4.7;1;11;6;54.5;2.36;1.29;0.09;0.17;11.0;0;0;0;1.6;1.6;0.14;-0.6;-0.6;Matchs
Mitchel Bakker;nl NED;DF,AT;Lille;24-205;2000;4.3;2;10;5;50.0;2.30;1.15;0.20;0.40;15.3;0;0;0;1.9;1.9;0.19;+0.1;+0.1;Matchs
Darryl Bakola;fr FRA;DF;Marseille;17-042;2007;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Dilane Bakwa;fr FRA;MT,AT;Strasbourg;22-138;2002;15.5;2;31;14;45.2;2.00;0.90;0.06;0.14;22.0;3;0;0;2.7;2.7;0.09;-0.7;-0.7;Matchs
Leonardo Balerdi;ar ARG;DF;Marseille;25-351;1999;12.0;0;1;0;0.0;0.08;0.00;0.00;;34.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matchs
Folarin Balogun;us USA;AT;Monaco;23-192;2001;5.2;3;23;6;26.1;4.41;1.15;0.13;0.50;12.3;0;0;0;3.8;3.8;0.17;-0.8;-0.8;Matchs
Abdoulaye Bamba;ci CIV;DF;Angers;34-261;1990;6.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Mohamed Bamba;ci CIV;MT;Reims;20-095;2004;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Bradley Barcola;fr FRA;AT;Paris S-G;22-131;2002;11.7;10;43;21;48.8;3.68;1.80;0.23;0.48;12.2;0;0;0;8.2;8.2;0.19;+1.8;+1.8;Matchs
Melvin Bard;fr FRA;DF,MT;Nice;24-066;2000;7.5;1;6;3;50.0;0.80;0.40;0.17;0.33;15.8;0;0;0;0.7;0.7;0.12;+0.3;+0.3;Matchs
Gabriel Bares;ch SUI;MT,DF;Montpellier;24-135;2000;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Dylan Batubinsika;cd COD;DF;Saint-Etienne;28-331;1996;14.6;0;5;1;20.0;0.34;0.07;0.00;0.00;11.5;0;0;0;0.5;0.5;0.11;-0.5;-0.5;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Haris Belkebla;dz ALG;MT;Angers;30-349;1994;11.0;0;2;0;0.0;0.18;0.00;0.00;;24.4;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Yassin Belkhdim;fr FRA;MT,AT;Angers;22-332;2002;6.4;0;5;2;40.0;0.78;0.31;0.00;0.00;19.3;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
Eliesse Ben Seghir;ma MAR;MT,AT;Monaco;19-330;2005;12.6;5;39;14;35.9;3.09;1.11;0.08;0.21;21.6;3;2;2;4.3;2.9;0.07;+0.7;+0.1;Matchs
Saïd Benrahma;dz ALG;AT,MT;Lyon;29-154;1995;7.3;1;15;4;26.7;2.06;0.55;0.07;0.25;20.3;1;0;0;1.9;1.9;0.13;-0.9;-0.9;Matchs
Lucas Beraldo;br BRA;DF;Paris S-G;21-048;2003;9.1;1;4;2;50.0;0.44;0.22;0.25;0.50;14.4;0;0;0;0.4;0.4;0.09;+0.6;+0.6;Matchs
Dimitry Bertaud;cd COD;GB;Montpellier;26-219;1998;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Emmanuel Biumla;fr FRA;DF;Angers;19-248;2005;9.1;1;3;2;66.7;0.33;0.22;0.33;0.50;6.9;0;0;0;0.7;0.7;0.24;+0.3;+0.3;Matchs
Marco Bizot;nl NED;GB;Brest;33-307;1991;15.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Ludovic Blas;fr FRA;MT,AT;Rennes;27-011;1997;14.5;4;35;16;45.7;2.42;1.11;0.11;0.25;17.2;1;0;0;3.5;3.5;0.10;+0.5;+0.5;Matchs
Augustine Boakye;gh GHA;MT,AT;Saint-Etienne;24-069;2000;4.5;2;12;6;50.0;2.64;1.32;0.17;0.33;20.9;1;0;0;1.0;1.0;0.09;+1.0;+1.0;Matchs
Jeremie Boga;ci CIV;MT,AT;Nice;28-008;1997;6.9;0;17;9;52.9;2.46;1.30;0.00;0.00;16.0;2;0;0;1.3;1.3;0.08;-1.3;-1.3;Matchs
Moïse Bombito;ca CAN;DF;Nice;24-287;2000;12.7;0;4;1;25.0;0.31;0.08;0.00;0.00;9.4;0;0;0;0.6;0.6;0.15;-0.6;-0.6;Matchs
Saïmon Bouabré;fr FRA;MT,AT;Monaco;18-224;2006;0.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Ayyoub Bouaddi;fr FRA;MT;Lille;17-101;2007;6.5;0;1;1;100.0;0.15;0.15;0.00;0.00;12.6;0;0;0;0.0;0.0;0.04;0.0;0.0;Matchs
Badredine Bouanani;dz ALG;MT,AT;Nice;20-034;2004;6.3;2;20;8;40.0;3.17;1.27;0.10;0.25;20.3;1;0;0;1.2;1.2;0.06;+0.8;+0.8;Matchs
Benjamin Bouchouari;ma MAR;MT;Saint-Etienne;23-059;2001;8.2;1;4;1;25.0;0.49;0.12;0.25;1.00;23.2;0;0;0;0.1;0.1;0.04;+0.9;+0.9;Matchs
Hicham Boudaoui;dz ALG;MT;Nice;25-110;1999;11.9;1;18;12;66.7;1.51;1.01;0.06;0.08;21.2;0;0;0;0.9;0.9;0.05;+0.1;+0.1;Matchs
Benjamin Bourigeaud;fr FRA;MT;Rennes;30-363;1994;0.9;1;2;1;50.0;2.25;1.13;0.50;1.00;16.1;1;0;0;0.2;0.2;0.08;+0.8;+0.8;Matchs
Bilal Brahimi;dz ALG;MT;Nice;24-303;2000;0.8;0;1;1;100.0;1.18;1.18;0.00;0.00;23.0;1;0;0;0.0;0.0;0.04;0.0;0.0;Matchs
Lilian Brassier;fr FRA;DF;Marseille;25-070;1999;7.0;0;5;1;20.0;0.72;0.14;0.00;0.00;11.3;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
Aurélio Buta;pt POR;DF;Reims;27-336;1997;10.9;0;5;1;20.0;0.46;0.09;0.00;0.00;22.1;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Marcin Bułka;pl POL;GB;Nice;25-099;1999;16.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Rémy Cabella;fr FRA;AT,MT;Lille;34-309;1990;7.1;0;18;5;27.8;2.54;0.71;0.00;0.00;15.3;0;0;0;1.8;1.8;0.10;-1.8;-1.8;Matchs
Mathieu Cafaro;fr FRA;MT,AT;Saint-Etienne;27-292;1997;7.6;1;23;10;43.5;3.04;1.32;0.04;0.10;20.3;2;0;0;1.5;1.5;0.06;-0.5;-0.5;Matchs
Duje Ćaleta-Car;hr CRO;DF;Lyon;28-116;1996;12.9;1;6;1;16.7;0.47;0.08;0.17;1.00;11.2;0;0;0;1.6;1.6;0.27;-0.6;-0.6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Issiaga Camara;gn GUI;MT;Nice;19-344;2005;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Lamine Camara;sn SEN;MT;Monaco;21-010;2004;11.3;2;14;7;50.0;1.24;0.62;0.14;0.29;23.0;2;0;0;1.1;1.1;0.08;+0.9;+0.9;Matchs
Mahdi Camara;fr FRA;MT;Brest;26-195;1998;12.5;2;20;9;45.0;1.60;0.72;0.10;0.22;18.5;0;0;0;1.4;1.4;0.07;+0.6;+0.6;Matchs
Axel Camblan;fr FRA;MT,AT;Brest;21-134;2003;0.3;0;1;0;0.0;3.46;0.00;0.00;;16.0;0;0;0;0.0;0.0;0.05;0.0;0.0;Matchs
Jaydee Canvot;fr FRA;MT,DF;Toulouse;18-166;2006;1.0;0;2;1;50.0;1.98;0.99;0.00;0.00;12.5;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matchs
Pierrick Capelle;fr FRA;MT;Angers;37-271;1987;3.1;0;1;0;0.0;0.32;0.00;0.00;;15.9;0;0;0;0.0;0.0;0.04;0.0;0.0;Matchs
Gabin Capuano;fr FRA;AT;Lens;18-260;2006;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Maxence Caqueret;fr FRA;MT;Lyon;24-331;2000;6.4;0;7;1;14.3;1.10;0.16;0.00;0.00;21.8;0;0;0;0.7;0.7;0.09;-0.7;-0.7;Matchs
Valentin Carboni;ar ARG;MT,AT;Marseille;19-312;2005;1.1;0;2;1;50.0;1.75;0.87;0.00;0.00;21.4;0;0;0;0.0;0.0;0.02;0.0;0.0;Matchs
Patrik Carlgren;se SWE;GB;Nantes;33-003;1992;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Josué Casimir;fr FRA;AT,DF;Le Havre;23-109;2001;7.5;1;8;2;25.0;1.07;0.27;0.13;0.50;14.8;0;0;0;1.0;1.0;0.12;0.0;0.0;Matchs
Cristian Cásseres Jr.;ve VEN;MT;Toulouse;24-357;2000;13.3;0;6;1;16.7;0.45;0.08;0.00;0.00;20.6;1;0;0;0.4;0.4;0.06;-0.4;-0.4;Matchs
Jean-Charles Castelletto;cm CMR;DF;Nantes;29-351;1995;14.8;0;4;2;50.0;0.27;0.14;0.00;0.00;18.6;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Matchs
Fabien Centonze;fr FRA;DF;Nantes;28-361;1996;0.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Brendan Chardonnet;fr FRA;DF;Brest;30-020;1994;14.0;1;8;1;12.5;0.57;0.07;0.13;1.00;12.3;0;0;0;0.5;0.5;0.07;+0.5;+0.5;Matchs
Jhoanner Chávez;ec ECU;DF,MT;Lens;22-261;2002;6.6;1;5;3;60.0;0.76;0.45;0.20;0.33;16.4;0;0;0;0.3;0.3;0.06;+0.7;+0.7;Matchs
Théo Chennahi;fr FRA;MT,DF;Montpellier;19-340;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Sidiki Cherif;fr FRA;AT;Angers;18-027;2006;3.1;0;4;2;50.0;1.28;0.64;0.00;0.00;21.3;0;0;0;0.4;0.4;0.11;-0.4;-0.4;Matchs
Rayan Cherki;fr FRA;AT,MT;Lyon;21-147;2003;7.3;3;17;7;41.2;2.34;0.96;0.18;0.43;15.8;2;0;0;1.7;1.7;0.10;+1.3;+1.3;Matchs
Lucas Chevalier;fr FRA;GB;Lille;23-066;2001;17.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Pedro Chirivella;es ESP;MT;Nantes;27-233;1997;13.8;0;3;0;0.0;0.22;0.00;0.00;;23.1;0;0;0;0.2;0.2;0.06;-0.2;-0.2;Matchs
Joris Chotard;fr FRA;MT;Montpellier;23-109;2001;7.5;1;4;1;25.0;0.53;0.13;0.25;1.00;17.6;1;0;0;0.4;0.4;0.11;+0.6;+0.6;Matchs
Yoann Cissé;fr FRA;MT;Auxerre;20-029;2004;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Jonathan Clauss;fr FRA;DF,MT;Nice;32-108;1992;9.5;1;9;2;22.2;0.95;0.21;0.11;0.50;19.7;2;0;0;0.7;0.7;0.08;+0.3;+0.3;Matchs
Marcus Coco;fr FRA;DF;Nantes;28-201;1996;5.0;0;1;0;0.0;0.20;0.00;0.00;;27.5;0;0;0;0.0;0.0;0.03;0.0;0.0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Alois Confais;fr FRA;MT;Le Havre;28-126;1996;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Derek Cornelius;ca CAN;DF;Marseille;27-047;1997;7.0;0;1;0;0.0;0.14;0.00;0.00;;11.2;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matchs
Pierre Cornud;fr FRA;DF;Saint-Etienne;28-030;1996;4.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
David Costa;pt POR;MT;Lens;24-006;2001;3.6;0;8;2;25.0;2.20;0.55;0.00;0.00;16.5;0;0;0;1.1;1.1;0.14;-1.1;-1.1;Matchs
Logan Costa;cv CPV;DF;Toulouse;23-285;2001;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Grégoire Coudert;fr FRA;GB;Brest;25-283;1999;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Lasso Coulibaly;gh GHA;AT,MT;Auxerre;22-084;2002;0.4;1;2;1;50.0;4.74;2.37;0.50;1.00;11.8;0;0;0;0.2;0.2;0.11;+0.8;+0.8;Matchs
Soumaïla Coulibaly;fr FRA;DF;Brest;21-089;2003;3.6;0;2;0;0.0;0.56;0.00;0.00;;12.0;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Tanguy Coulibaly;fr FRA;AT,MT;Montpellier;23-328;2001;4.9;1;9;3;33.3;1.85;0.62;0.11;0.33;14.7;0;0;0;0.6;0.6;0.07;+0.4;+0.4;Matchs
Nicolas Cozza;fr FRA;DF,MT;Nantes;26-003;1999;12.3;1;9;4;44.4;0.73;0.32;0.11;0.25;15.1;0;0;0;1.0;1.0;0.11;0.0;0.0;Matchs
Charlie Cresswell;eng ENG;DF;Toulouse;22-147;2002;12.8;0;12;3;25.0;0.94;0.23;0.00;0.00;9.6;0;0;0;1.4;1.4;0.12;-1.4;-1.4;Matchs
Kévin Danois;fr FRA;MT;Auxerre;20-197;2004;9.8;0;11;0;0.0;1.12;0.00;0.00;;18.1;0;0;0;0.7;0.7;0.06;-0.7;-0.7;Matchs
Kevin Danso;at AUT;DF;Lens;26-114;1998;11.0;0;8;2;25.0;0.73;0.18;0.00;0.00;14.9;0;0;0;0.3;0.3;0.04;-0.3;-0.3;Matchs
Dante;br BRA;DF;Nice;41-085;1983;8.3;0;4;0;0.0;0.48;0.00;0.00;;9.2;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
