Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Buts;Tirs;TC;TC%;Tir/90;TC/90;B/Tir;B/TC;Dist;CF;PénM;PénT;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matchs
Victor Orakpo;ng NGA;AT;Nice;18-211;2006;0.4;0;2;0;0.0;5.00;0.00;0.00;;10.4;0;0;0;0.3;0.3;0.16;-0.3;-0.3;Matchs
Gift Orban;ng NGA;AT,DF;Lyon;22-178;2002;2.1;2;4;3;75.0;1.94;1.45;0.50;0.67;8.7;0;0;0;1.2;1.2;0.30;+0.8;+0.8;Matchs
Gabriel Osho;ng NGA;DF;Auxerre;26-150;1998;11.1;1;3;2;66.7;0.27;0.18;0.33;0.50;6.9;0;0;0;0.7;0.7;0.24;+0.3;+0.3;Matchs
Jibril Othman;tn TUN;AT;Saint-Etienne;20-260;2004;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Guimissongui Ouattara;fr FRA;AT,MT;Strasbourg;19-081;2005;0.8;1;2;1;50.0;2.61;1.30;0.50;1.00;15.3;0;0;0;0.1;0.1;0.07;+0.9;+0.9;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Kassoum Ouattara;fr FRA;DF,AT;Monaco;20-089;2004;3.7;0;2;1;50.0;0.54;0.27;0.00;0.00;21.2;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matchs
Zinédine Ould Khaled;fr FRA;MT;Angers;24-363;2000;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Beres Owusu;fr FRA;DF;Saint-Etienne;21-114;2003;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Elisha Owusu;gh GHA;MT;Auxerre;27-065;1997;15.4;1;4;2;50.0;0.26;0.13;0.25;0.50;23.7;0;0;0;0.3;0.3;0.07;+0.7;+0.7;Matchs
Willian Pacho;ec ECU;DF;Paris S-G;23-087;2001;13.3;0;1;0;0.0;0.08;0.00;0.00;;9.9;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matchs
Nicolas Pallois;fr FRA;DF;Nantes;37-114;1987;10.0;0;2;1;50.0;0.20;0.10;0.00;0.00;32.0;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Kévin Pedro;fr FRA;DF;Saint-Etienne;18-325;2006;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Théo Pellenard;fr FRA;DF;Auxerre;30-313;1994;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;0;2;1;50.0;0.27;0.13;0.00;0.00;14.4;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matchs
Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;1;9;4;44.4;1.56;0.69;0.11;0.25;18.7;1;0;0;0.6;0.6;0.06;+0.4;+0.4;Matchs
Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;5;28;13;46.4;2.12;0.98;0.18;0.38;20.8;2;0;0;3.0;3.0;0.11;+2.0;+2.0;Matchs
Léo Pétrot;fr FRA;DF;Saint-Etienne;27-271;1997;11.5;0;3;1;33.3;0.26;0.09;0.00;0.00;11.0;0;0;0;0.2;0.2;0.06;-0.2;-0.2;Matchs
Đorđe Petrović;rs SRB;GB;Strasbourg;25-095;1999;13.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Tom Pouilly;fr FRA;DF;Lens;21-207;2003;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Adrien Rabiot;fr FRA;MT;Marseille;29-283;1995;9.6;1;15;3;20.0;1.56;0.31;0.07;0.33;16.7;0;0;0;1.1;1.1;0.07;-0.1;-0.1;Matchs
Gonçalo Ramos;pt POR;AT;Paris S-G;23-205;2001;2.1;2;10;8;80.0;4.76;3.81;0.20;0.25;9.1;0;0;0;1.7;1.7;0.17;+0.3;+0.3;Matchs
Lilian Raolisoa;fr FRA;DF,AT;Angers;24-209;2000;2.7;0;2;0;0.0;0.74;0.00;0.00;;20.6;0;0;0;0.2;0.2;0.09;-0.2;-0.2;Matchs
Rayan Raveloson;mg MAD;MT,DF;Auxerre;27-361;1997;8.0;1;16;5;31.3;1.99;0.62;0.06;0.20;21.6;1;0;0;0.8;0.8;0.05;+0.2;+0.2;Matchs
Guillaume Restes;fr FRA;GB;Toulouse;19-306;2005;15.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Alexsandro Ribeiro;br BRA;DF;Lille;25-155;1999;15.0;0;7;1;14.3;0.47;0.07;0.00;0.00;10.4;0;0;0;0.7;0.7;0.09;-0.7;-0.7;Matchs
Valentin Rongier;fr FRA;MT,DF;Marseille;30-035;1994;6.2;2;6;4;66.7;0.97;0.65;0.33;0.50;19.9;0;0;0;0.7;0.7;0.11;+1.3;+1.3;Matchs
Pablo Rosario;nl NED;MT,DF;Nice;28-004;1997;13.0;1;7;3;42.9;0.54;0.23;0.00;0.00;17.0;0;1;1;1.8;1.0;0.14;-0.8;-1.0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Jon Rowe;eng ENG;AT,MT;Marseille;21-256;2003;4.5;2;23;9;39.1;5.15;2.01;0.09;0.22;16.9;0;0;0;1.8;1.8;0.08;+0.2;+0.2;Matchs
Fabián Ruiz Peña;es ESP;MT;Paris S-G;28-283;1996;8.8;1;24;5;20.8;2.72;0.57;0.04;0.20;18.0;0;0;0;1.8;1.8;0.08;-0.8;-0.8;Matchs
Gerónimo Rulli;ar ARG;GB;Marseille;32-236;1992;16.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Emmanuel Sabbi;us USA;MT,AT;Le Havre;27-018;1997;4.9;0;13;3;23.1;2.65;0.61;0.00;0.00;12.5;0;0;0;1.8;1.8;0.14;-1.8;-1.8;Matchs
Falaye Sacko;ml MLI;DF;Montpellier;29-255;1995;9.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Matvei Safonov;ru RUS;GB;Paris S-G;25-321;1999;4.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Modibo Sagnan;ml MLI;DF;Montpellier;25-272;1999;13.3;1;9;2;22.2;0.68;0.15;0.11;0.50;11.3;0;0;0;0.6;0.6;0.06;+0.4;+0.4;Matchs
Osame Sahraoui;ma MAR;AT,MT;Lille;23-214;2001;9.1;0;13;2;15.4;1.43;0.22;0.00;0.00;16.4;0;0;0;0.8;0.8;0.06;-0.8;-0.8;Matchs
Wesley Saïd;fr FRA;AT,MT;Lens;29-267;1995;4.2;1;9;3;33.3;2.13;0.71;0.11;0.33;13.9;0;0;0;2.0;2.0;0.22;-1.0;-1.0;Matchs
Théo Sainte-Luce;fr FRA;MT,DF;Montpellier;26-083;1998;0.2;1;2;1;50.0;8.57;4.29;0.50;1.00;4.6;0;0;0;0.8;0.8;0.38;+0.2;+0.2;Matchs
Ibrahim Salah;ma MAR;AT;Brest;23-134;2001;3.7;1;12;3;25.0;3.22;0.81;0.08;0.33;19.0;0;0;0;0.6;0.6;0.05;+0.4;+0.4;Matchs
Amine Salama;fr FRA;AT;Reims;24-177;2000;3.0;0;6;3;50.0;1.99;1.00;0.00;0.00;17.4;1;0;0;0.4;0.4;0.06;-0.4;-0.4;Matchs
Mohammed Salisu;gh GHA;DF;Monaco;25-269;1999;8.3;1;6;2;33.3;0.72;0.24;0.17;0.50;8.5;0;0;0;0.7;0.7;0.11;+0.3;+0.3;Matchs
Yoann Salmier;gf GUF;DF;Le Havre;32-051;1992;7.6;0;2;0;0.0;0.26;0.00;0.00;;10.8;0;0;0;0.4;0.4;0.19;-0.4;-0.4;Matchs
Mama Samba Baldé;gw GNB;AT;Lyon;29-066;1995;0.4;0;1;0;0.0;2.73;0.00;0.00;;8.7;0;0;0;0.1;0.1;0.11;-0.1;-0.1;Matchs
Mama Samba Baldé;gw GNB;AT;Brest;29-066;1995;7.1;2;14;4;28.6;1.97;0.56;0.14;0.50;16.1;0;0;0;1.7;1.7;0.12;+0.3;+0.3;Matchs
Brice Samba;fr FRA;GB;Lens;30-261;1994;15.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Arouna Sangante;sn SEN;DF;Le Havre;22-274;2002;5.8;1;3;2;66.7;0.52;0.35;0.33;0.50;10.3;0;0;0;0.2;0.2;0.07;+0.8;+0.8;Matchs
Nhoa Sangui;fr FRA;DF;Reims;18-319;2006;6.5;0;3;0;0.0;0.46;0.00;0.00;;24.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Baptiste Santamaria;fr FRA;MT;Rennes;29-308;1995;5.4;0;4;1;25.0;0.75;0.19;0.00;0.00;19.1;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Andrey Santos;br BRA;MT;Strasbourg;20-253;2004;14.7;6;21;9;42.9;1.43;0.61;0.29;0.67;13.9;0;0;0;3.3;3.3;0.16;+2.7;+2.7;Matchs
Tiago Santos;pt POR;DF;Lille;22-172;2002;4.5;0;8;4;50.0;1.78;0.89;0.00;0.00;20.9;0;0;0;0.4;0.4;0.05;-0.4;-0.4;Matchs
Malang Sarr;fr FRA;DF;Lens;25-354;1999;3.3;0;2;0;0.0;0.61;0.00;0.00;;16.8;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Mamadou Sarr;fr FRA;DF;Strasbourg;19-135;2005;9.5;0;2;0;0.0;0.21;0.00;0.00;;8.8;0;0;0;0.2;0.2;0.12;-0.2;-0.2;Matchs
Martin Satriano;uy URU;AT,DF;Lens;23-326;2001;0.5;0;3;0;0.0;6.59;0.00;0.00;;8.6;0;0;0;0.3;0.3;0.11;-0.3;-0.3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Téji Savanier;fr FRA;MT;Montpellier;33-020;1991;13.1;1;27;9;33.3;2.05;0.68;0.00;0.00;25.7;7;1;1;2.4;1.6;0.06;-1.4;-1.6;Matchs
Niklas Schmidt;de GER;MT;Toulouse;26-316;1998;2.3;0;3;1;33.3;1.32;0.44;0.00;0.00;25.3;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Jérémy Sebas;mq MTQ;AT,MT;Strasbourg;21-272;2003;1.7;0;4;1;25.0;2.35;0.59;0.00;0.00;14.9;0;0;0;0.6;0.6;0.15;-0.6;-0.6;Matchs
Alidu Seidu;gh GHA;DF;Rennes;24-221;2000;8.9;0;3;0;0.0;0.34;0.00;0.00;;19.9;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matchs
Marvin Senaya;tg TOG;DF;Strasbourg;23-349;2001;2.2;0;1;0;0.0;0.46;0.00;0.00;;22.5;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Djibril Sidibé;fr FRA;DF;Toulouse;32-166;1992;12.1;0;3;0;0.0;0.25;0.00;0.00;;7.7;0;0;0;0.3;0.3;0.10;-0.3;-0.3;Matchs
Vincent Sierro;ch SUI;MT;Toulouse;29-095;1995;13.7;1;8;0;0.0;0.58;0.00;0.00;;24.0;0;1;1;1.2;0.4;0.05;-0.2;-0.4;Matchs
Caio Henrique Oliveira Silva;br BRA;DF;Monaco;27-164;1997;7.9;0;2;1;50.0;0.25;0.13;0.00;0.00;17.2;1;0;0;0.1;0.1;0.05;-0.1;-0.1;Matchs
Abdallah Sima;sn SEN;AT;Brest;23-208;2001;5.3;3;17;10;58.8;3.23;1.90;0.18;0.30;13.7;0;0;0;2.0;2.0;0.12;+1.0;+1.0;Matchs
Moses Simon;ng NGA;AT,MT;Nantes;29-183;1995;14.1;4;25;10;40.0;1.77;0.71;0.08;0.20;20.1;1;2;2;3.2;1.7;0.07;+0.8;+0.3;Matchs
Lassine Sinayoko;ml MLI;AT,MT;Auxerre;25-034;1999;13.5;2;25;6;24.0;1.85;0.44;0.04;0.17;18.2;0;1;1;2.6;1.8;0.07;-0.6;-0.8;Matchs
Wilfried Singo;ci CIV;DF;Monaco;24-017;2000;13.2;1;9;3;33.3;0.68;0.23;0.11;0.33;10.7;0;0;0;1.2;1.2;0.14;-0.2;-0.2;Matchs
Ibrahim Sissoko;ml MLI;AT;Saint-Etienne;29-045;1995;8.9;3;21;4;19.0;2.36;0.45;0.10;0.50;14.6;0;1;1;4.3;3.5;0.17;-1.3;-1.5;Matchs
Niama Sissoko;ml MLI;AT;Reims;19-026;2005;0.2;0;2;0;0.0;10.00;0.00;0.00;;9.7;0;0;0;0.2;0.2;0.09;-0.2;-0.2;Matchs
Leo Skiri Østigård;no NOR;DF;Rennes;25-044;1999;10.9;1;5;2;40.0;0.46;0.18;0.20;0.50;7.7;0;0;0;0.6;0.6;0.13;+0.4;+0.4;Matchs
Milan Škriniar;sk SVK;DF;Paris S-G;29-335;1995;4.2;0;3;0;0.0;0.71;0.00;0.00;;10.8;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
Naatan Skyttä;fi FIN;AT;Toulouse;22-249;2002;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Eduard Sobol;ua UKR;DF;Strasbourg;29-266;1995;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Florian Sotoca;fr FRA;AT,MT;Lens;34-078;1990;9.1;0;25;9;36.0;2.75;0.99;0.00;0.00;14.5;0;0;0;2.7;2.7;0.11;-2.7;-2.7;Matchs
Issa Soumaré;sn SEN;AT,MT;Le Havre;24-093;2000;6.9;0;10;4;40.0;1.44;0.58;0.00;0.00;17.6;0;0;0;1.0;1.0;0.10;-1.0;-1.0;Matchs
Saidou Sow;gn GUI;DF;Strasbourg;22-191;2002;11.3;0;4;1;25.0;0.35;0.09;0.00;0.00;10.6;0;0;0;0.3;0.3;0.08;-0.3;-0.3;Matchs
Lucas Stassin;be BEL;AT;Saint-Etienne;20-044;2004;6.9;2;10;3;30.0;1.45;0.44;0.20;0.67;13.6;0;0;0;1.8;1.8;0.18;+0.2;+0.2;Matchs
Enzo Sternal;fr FRA;AT,MT;Marseille;17-228;2007;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Gabriel Suazo;cl CHI;DF;Toulouse;27-155;1997;9.2;0;2;2;100.0;0.22;0.22;0.00;0.00;16.5;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matchs
Abakar Sylla;ci CIV;DF;Strasbourg;22-017;2002;7.2;1;5;1;20.0;0.69;0.14;0.20;1.00;9.0;0;0;0;0.4;0.4;0.08;+0.6;+0.6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Issiaga Sylla;gn GUI;DF;Montpellier;31-010;1994;8.6;1;6;2;33.3;0.70;0.23;0.17;0.50;12.9;0;0;0;0.7;0.7;0.12;+0.3;+0.3;Matchs
Musa Al-Taamari;jo JOR;AT,MT;Montpellier;27-215;1997;8.4;0;21;8;38.1;2.49;0.95;0.00;0.00;19.1;0;0;0;1.3;1.3;0.06;-1.3;-1.3;Matchs
Nicolás Tagliafico;ar ARG;DF;Lyon;32-133;1992;7.9;2;13;5;38.5;1.65;0.63;0.15;0.40;14.0;0;0;0;1.3;1.3;0.10;+0.7;+0.7;Matchs
Florian Tardieu;fr FRA;MT;Saint-Etienne;32-264;1992;1.9;0;1;0;0.0;0.53;0.00;0.00;;22.2;0;0;0;0.0;0.0;0.02;0.0;0.0;Matchs
Oussama Targhalline;ma MAR;MT;Le Havre;22-236;2002;9.3;0;4;0;0.0;0.43;0.00;0.00;;26.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Enzo Tchato;cm CMR;DF;Montpellier;22-049;2002;11.8;0;2;1;50.0;0.17;0.08;0.00;0.00;29.8;0;0;0;0.0;0.0;0.02;0.0;0.0;Matchs
Tanner Tessmann;us USA;MT;Lyon;23-109;2001;2.7;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Teddy Teuma;mt MLT;MT;Reims;31-103;1993;3.5;1;9;2;22.2;2.56;0.57;0.00;0.00;24.2;2;1;1;1.3;0.5;0.06;-0.3;-0.5;Matchs
Jordan Teze;nl NED;DF;Monaco;25-103;1999;3.4;1;4;1;25.0;1.17;0.29;0.25;1.00;10.8;0;0;0;1.2;1.2;0.30;-0.2;-0.2;Matchs
Sorba Thomas;wls WAL;AT,MT;Nantes;25-142;1999;9.1;1;7;1;14.3;0.77;0.11;0.14;1.00;18.4;0;0;0;1.3;1.3;0.18;-0.3;-0.3;Matchs
Adrien Thomasson;fr FRA;MT;Lens;31-032;1993;14.4;2;15;5;33.3;1.04;0.35;0.13;0.40;16.3;0;0;0;2.1;2.1;0.14;-0.1;-0.1;Matchs
Corentin Tolisso;fr FRA;MT;Lyon;30-161;1994;10.9;1;23;7;30.4;2.11;0.64;0.04;0.14;17.4;0;0;0;2.2;2.2;0.10;-1.2;-1.2;Matchs
Abdoulaye Touré;gn GUI;MT;Le Havre;30-314;1994;13.9;3;19;2;10.5;1.37;0.14;0.00;0.00;24.0;0;3;3;3.7;1.4;0.07;-0.7;-1.4;Matchs
Birama Touré;ml MLI;MT,DF;Montpellier;32-219;1992;3.3;0;3;1;33.3;0.91;0.30;0.00;0.00;26.6;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Ousmane Toure;fr FRA;DF;Lille;19-328;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Adrien Truffert;fr FRA;DF,MT;Rennes;23-052;2001;12.6;1;12;5;41.7;0.95;0.40;0.08;0.20;22.2;0;0;0;1.3;1.3;0.11;-0.3;-0.3;Matchs
Vanderson;br BRA;DF;Monaco;23-204;2001;11.4;1;9;4;44.4;0.79;0.35;0.11;0.25;16.7;0;0;0;1.5;1.5;0.16;-0.5;-0.5;Matchs
Jordan Veretout;fr FRA;MT;Lyon;31-316;1993;9.9;1;10;5;50.0;1.01;0.51;0.10;0.20;17.1;0;0;0;0.9;0.9;0.09;+0.1;+0.1;Matchs
Ben Viadere;fr FRA;MT;Auxerre;19-131;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Vitinha;pt POR;MT;Paris S-G;24-333;2000;11.5;3;11;4;36.4;0.96;0.35;0.09;0.25;25.9;0;2;2;2.5;1.0;0.09;+0.5;0.0;Matchs
Ibrahima Wadji;sn SEN;MT,AT;Saint-Etienne;29-251;1995;1.2;0;4;0;0.0;3.46;0.00;0.00;;16.9;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
Elye Wahi;fr FRA;AT;Marseille;22-009;2003;6.4;3;16;9;56.3;2.51;1.41;0.13;0.22;12.1;0;1;1;6.0;5.2;0.33;-3.0;-3.2;Matchs
Caleb Wiley;us USA;DF,MT;Strasbourg;20-020;2004;3.0;0;1;0;0.0;0.34;0.00;0.00;;27.3;0;0;0;0.0;0.0;0.03;0.0;0.0;Matchs
Christopher Wooh;cm CMR;DF;Rennes;23-115;2001;9.8;0;4;1;25.0;0.41;0.10;0.00;0.00;8.6;0;0;0;0.5;0.5;0.13;-0.5;-0.5;Matchs
Etienne Youte Kinkoue;fr FRA;DF;Le Havre;22-363;2002;11.5;0;7;0;0.0;0.61;0.00;0.00;;20.2;1;0;0;0.6;0.6;0.09;-0.6;-0.6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Yoram Zague;fr FRA;DF;Paris S-G;18-241;2006;1.8;0;1;1;100.0;0.56;0.56;0.00;0.00;10.3;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matchs
Wilfried Zaha;ci CIV;AT;Lyon;32-062;1992;0.8;0;1;1;100.0;1.23;1.23;0.00;0.00;17.2;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matchs
Warren Zaïre-Emery;fr FRA;MT,DF;Paris S-G;18-309;2006;12.6;1;9;6;66.7;0.71;0.47;0.11;0.17;19.4;0;0;0;0.8;0.8;0.09;+0.2;+0.2;Matchs
Miha Zajc;si SVN;MT;Toulouse;30-194;1994;1.5;0;4;1;25.0;2.61;0.65;0.00;0.00;25.4;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Denis Zakaria;ch SUI;MT;Monaco;28-052;1996;10.3;2;10;5;50.0;0.97;0.49;0.20;0.40;15.6;0;0;0;2.3;2.3;0.23;-0.3;-0.3;Matchs
Anass Zaroury;ma MAR;AT,MT;Lens;24-065;2000;7.6;0;15;5;33.3;1.97;0.66;0.00;0.00;21.2;0;0;0;0.9;0.9;0.06;-0.9;-0.9;Matchs
Nathan Zeze;fr FRA;DF;Nantes;19-207;2005;11.6;0;4;1;25.0;0.35;0.09;0.00;0.00;10.2;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matchs
Edon Zhegrova;xk KVX;AT,MT;Lille;25-286;1999;10.9;4;23;9;39.1;2.12;0.83;0.17;0.44;22.2;2;0;0;2.3;2.3;0.10;+1.7;+1.7;Matchs
Luc Zogbé;ci CIV;DF;Brest;19-293;2005;3.4;0;4;0;0.0;1.17;0.00;0.00;;21.3;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Aristide Zossou;ci CIV;MT;Auxerre;19-211;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Yanis Zouaoui;dz ALG;DF,AT;Le Havre;30-185;1994;3.6;0;1;0;0.0;0.28;0.00;0.00;;34.3;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
